wk_strt_dt,yr_nbr,qtr_nbr,prd,wk_nbr,wk_in_yr_nbr,mdip_dm,mdip_inst,mdip_nsp,mdip_auddig,mdip_audtr,mdip_vidtr,mdip_viddig,mdip_so,mdip_on,mdip_em,mdip_sms,mdip_aff,mdip_sem,mdsp_dm,mdsp_inst,mdsp_nsp,mdsp_auddig,mdsp_audtr,mdsp_vidtr,mdsp_viddig,mdsp_so,mdsp_on,mdsp_sem,sales,me_ics_all,me_gas_dpg,st_ct,mrkdn_valadd_edw,mrkdn_pdm,va_pub_0.15,va_pub_0.2,va_pub_0.25,va_pub_0.3,hldy_Black Friday,hldy_Christmas Day,hldy_Christmas Eve,hldy_Columbus Day,hldy_Cyber Monday,hldy_Day after Christmas,hldy_Easter,hldy_Father's Day,hldy_Green Monday,hldy_July 4th,hldy_Labor Day,hldy_MLK,hldy_Memorial Day,hldy_Mother's Day,hldy_NYE,hldy_New Year's Day,hldy_Pre Thanksgiving,hldy_Presidents Day,hldy_Prime Day,hldy_Thanksgiving,hldy_Valentine's Day,hldy_Veterans Day,seas_prd_1,seas_prd_2,seas_prd_3,seas_prd_4,seas_prd_5,seas_prd_6,seas_prd_7,seas_prd_8,seas_prd_9,seas_prd_12,seas_week_40,seas_week_41,seas_week_42,seas_week_43,seas_week_44,seas_week_45,seas_week_46,seas_week_47,seas_week_48
2014-08-03,2014,3,7,1,27,4863885,29087520,2421933,692315,37778097,10038746,2111112,0,3271007,1514755,27281,197828,83054,678410.26,129759.66,507635.16,2700.69,254134.14,216725.59,45397.9,0.0,61364.75,355954.51,72051457.64,82.5,3.595,716.2857142857142,0.0,0.3680291832857143,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-10,2014,3,7,2,28,20887502,8345120,3984494,475810,12063657,9847977,587184,0,4260715,2234569,27531,123688,83124,661097.71,70355.33,625719.37,5039.35,106602.98,108919.26,2903.36,0.0,132643.9,336306.72,78794770.54,82.5,3.5820000000000003,716.4285714285713,0.0,0.3609107384285714,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-17,2014,3,7,3,29,11097724,17276800,1846832,784732,5770115,7235336,1015658,0,4405992,1616990,55267,186781,79768,1874338.43,107720.37,277532.61,2610.93,59011.42,74032.19,8110.48,0.0,76741.27,344787.96,70071185.56,82.5,3.549,717.0,0.0,0.3448316464285714,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-24,2014,3,7,4,30,1023446,18468480,2394834,1032301,12174000,8625122,2149160,0,6638320,1897998,32470,122389,138936,306583.37,141708.61,186028.61,6032.91,178010.46,110995.66,6516.22,0.0,193043.55,365495.11,68642464.59,82.5,3.532,717.0,0.0,0.35697324128571434,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-31,2014,3,8,1,31,21109811,26659920,3312008,400456,31656134,19785657,2408661,0,4347752,2569158,55878,209969,87531,2366274.16,160691.3,706694.09,5187.32,144097.56,225140.84,19381.12,0.0,249612.89,401789.35,86190784.65,84.60000000000002,3.5360000000000005,717.0,0.0,0.3599904535714286,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2014-09-07,2014,3,8,2,32,5965633,6255666,3215276,461272,12367053,5628842,1526423,0,3946028,2720081,48909,211812,133999,551660.91,54611.44,420740.17,3202.0,160774.8,112061.13,19037.84,0.0,156145.21,306469.2,56120616.39,84.60000000000002,3.534,717.0,0.0,0.3445035444285714,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2014-09-14,2014,3,8,3,33,10034343,4232000,1365872,497614,9137332,5154671,1578405,0,5218305,1825256,28031,223476,83000,1249748.19,37601.75,181439.02,1710.53,128558.88,169156.16,26129.36,650.53,368607.31,354210.28,125634433.34,84.60000000000002,3.485,717.0,0.0,0.3575708268571428,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2014-09-21,2014,3,8,4,34,12764686,15474013,2024228,270547,20203293,7141152,1562746,0,8085311,3404726,49211,210054,142684,1200840.95,72652.65,260108.46,1880.89,77428.05,193112.18,28991.38,1138.42,178897.74,199757.92,110756935.66,84.60000000000002,3.4319999999999995,717.0,0.0,0.3514376152857143,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2014-09-28,2014,3,8,5,35,11745748,7490000,1715439,294330,1702373,6602727,1072990,0,4540636,1616276,33132,125017,84649,679543.45,62239.3,205079.73,2264.57,22725.67,156913.77,9348.85,1628.94,255042.36,214170.0,116192534.8,84.60000000000002,3.4339999999999997,717.0,0.0,0.35016714771428564,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2014-10-05,2014,3,9,1,36,1745214,22230560,1840733,849692,15310836,10303035,582878,0,2477379,2968828,31867,243380,95469,597511.18,91521.07,446360.8,3363.18,172517.15,202935.22,9444.96,1500.06,218050.84,281419.21,129263590.24,86.89999999999998,3.381999999999999,717.5714285714287,0.0,0.3563680398571428,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2014-10-12,2014,3,9,2,37,38496860,23347200,4643022,394797,21191620,8598105,273923,0,2534662,3544833,9377,233819,185301,2061821.25,154363.7,730019.09,4069.05,133880.82,162216.38,4089.64,2142.88,135022.96,599789.41,142052815.71,86.89999999999998,3.2920000000000007,718.4285714285713,0.0,0.35659772128571426,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2014-10-19,2014,3,9,3,38,8693516,6168866,3421621,298897,26066189,5925606,99815,0,3339834,2067077,34782,239262,104310,916455.19,55862.95,525253.99,1101.1,290259.06,162098.79,2463.68,11200.01,117714.42,559240.25,71754043.8,86.89999999999998,3.2049999999999987,719.0,0.0,0.3513532635714286,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2014-10-26,2014,3,9,4,39,13093078,5038040,2080741,181167,10667948,5422289,288762,0,1753684,3277467,37056,225631,114476,484903.7,60076.42,540098.42,2025.63,69002.47,59832.14,3619.47,2800.0,152480.04,379409.92,123589119.59,86.89999999999998,3.139,719.0,0.0,0.3612373848571429,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2014-11-02,2014,4,10,1,40,13158218,25239360,3506341,1413462,19320667,15965095,412354,0,4792056,2263147,37852,159066,246981,1885080.56,196485.15,244989.63,3516.11,129415.89,230763.73,4180.29,5035.45,267335.48,830035.46,77587533.88,88.79999999999998,3.0770000000000004,719.0,0.39271012857142856,0.3668483551428571,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2014-11-09,2014,4,10,2,41,22875308,18962626,2595131,625282,10098277,12672081,1120862,0,9060839,3919402,19453,171538,151522,827785.48,94388.12,599363.88,3118.9,65230.29,357867.72,12972.69,8188.53,179366.52,498551.24,153818239.98,88.79999999999998,3.0249999999999995,719.0,0.3668664,0.359698224,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2014-11-16,2014,4,10,3,42,3925463,23304040,4634825,424766,22855239,22126859,1209235,0,13492802,3994731,68106,455603,300800,1952211.28,141990.26,734726.63,3981.27,259902.69,425195.29,11651.23,11890.97,271521.12,493407.84,188168749.0,88.79999999999998,2.9780000000000006,719.0,0.4205922857142857,0.3632454445714286,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2014-11-23,2014,4,10,4,43,17551954,62803626,6880524,929317,30785548,11391924,1321714,0,12197741,5004684,73392,644982,255541,2285885.34,590148.11,1207930.38,7509.02,179152.14,392581.65,9903.17,128992.07,397679.4,961115.1,152932619.03,88.79999999999998,2.907,719.0,0.4215165142857144,0.37076619471428574,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2014-11-30,2014,4,11,1,44,28904901,14336186,6494165,867405,21825253,20556935,2023741,0,12513461,4792193,76833,627599,510323,768569.58,77002.53,437211.98,4127.29,119986.63,613788.36,24145.69,11609.86,260737.55,2450532.72,307377803.91,93.6,2.8640000000000003,719.0,0.4239191,0.3664146505714286,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2014-12-07,2014,4,11,2,45,16869853,37079880,15531812,1414199,49058154,25790835,2640621,0,13022109,3011480,78243,454282,432255,1386270.56,124205.44,2198467.4,4770.47,272215.52,769348.71,34013.91,15255.99,485320.56,1893220.64,164024323.52,93.6,2.767,719.0,0.42383212857142855,0.36596201271428574,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2014-12-14,2014,4,11,3,46,18753243,65451456,13541908,1320352,49974218,34131737,2785958,0,11720183,2725976,47346,443262,365583,937645.57,378254.74,1049608.33,5870.9,283360.76,643356.19,34543.86,14459.01,284212.27,667739.73,351597976.78,93.6,2.643,719.0,0.4019231428571429,0.3609315141428572,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2014-12-21,2014,4,11,4,47,13738552,47443840,13237491,2423017,53068992,45802384,1099512,0,6951097,2614827,58661,415309,168718,705524.33,309908.81,2053156.13,9208.74,162091.54,753124.44,19736.64,15230.44,446930.5,604377.16,323162004.36,93.6,2.496,719.0,0.4072440714285714,0.3609206409999999,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2014-12-28,2014,4,11,5,48,6405622,15658860,4154717,2493673,38837732,12181226,1233931,0,6224480,3348174,49829,384458,140385,685817.13,192306.4,335860.68,9257.39,194071.48,321707.92,7185.81,6909.42,235677.83,295149.0,106476773.66,93.6,2.392,719.0,0.4094028857142858,0.3636536128571429,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2015-01-04,2014,4,12,1,49,1052324,6271680,2324881,23564,16172373,2386084,475997,0,502823,3324061,75335,332465,190386,41763.2,40592.32,566405.65,1038.24,58684.21,49883.1,4615.7,0.0,115032.31,366063.36,106622600.96,98.1,2.3080000000000003,719.0,0.3525566714285714,0.3481989258571429,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2015-01-11,2014,4,12,2,50,15166548,3408255,2729737,292127,36577193,3548875,143581,0,552836,1643881,50603,321684,105546,1232500.13,56105.1,424603.53,2718.75,133089.32,96811.87,4298.14,840.0,69430.23,328769.77,63460787.37,98.1,2.232,719.0,0.35313865714285714,0.35010039200000004,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2015-01-18,2014,4,12,3,51,13710067,5149760,3666240,23564,1255432,0,0,0,782401,2538628,86999,272314,103943,713458.55,57215.99,546957.34,1038.24,4149.71,0.0,0.0,2030.0,61591.26,376965.15,53503558.27,98.1,2.157,719.0,0.35043451428571426,0.347564855,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2015-01-25,2014,4,12,4,52,2106947,48533,7548433,40396,12829465,1149715,44024,0,713263,2222585,25552,322420,117434,1241777.59,1138.73,768836.96,1038.24,74131.52,41206.7,1980.0,3480.01,86573.51,489904.63,98546829.45,98.1,2.133,719.0,0.36939258571428574,0.35154354400000004,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2015-02-01,2015,1,1,1,1,12572913,18540968,3987674,698494,35296981,10089426,680194,0,2595046,2802195,51349,262676,121240,595721.78,154408.32,583367.9,4368.02,202897.52,164465.47,4332.01,16772.42,101755.16,277779.27,66774705.14,95.4,2.154,705.0,0.3569801142857143,0.35506516442857144,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-08,2015,1,1,2,2,370,34247932,2673710,783216,31218700,23764353,564571,0,9047566,1733570,133039,243343,214051,525.77,213190.78,166776.31,2607.26,179236.58,253821.91,6837.11,16925.88,179574.67,469152.59,83666133.95,95.4,2.276,705.0,0.3781319428571428,0.3607813511428571,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-15,2015,1,1,3,3,18282263,23278644,1977132,463253,16380745,15716185,226519,0,6804085,1791431,26063,293187,124958,612662.32,83472.18,520257.29,3237.4,115800.41,242028.67,2391.71,16925.88,141892.66,462573.86,73090378.47,95.4,2.358,705.0,0.3388024000000001,0.3522874527142857,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-22,2015,1,1,4,4,1014226,7067200,2592287,249958,9065237,2679226,1120038,0,2298133,1524411,89467,147659,104399,611879.65,57029.96,188114.2,1732.45,59691.7,36742.23,15447.64,29015.79,48259.57,376657.26,111100800.22,95.4,2.415,705.0,0.33916164285714284,0.3376958202857143,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-01,2015,1,2,1,5,8509951,13873600,2120585,395765,21938472,6309973,993366,0,2781394,1723449,52347,182776,111386,854607.36,63831.51,409654.69,2662.88,81525.47,158491.68,23496.23,62219.89,102810.14,389381.22,64745052.95,93.0,2.5560000000000005,705.0,0.3228936571428572,0.32686331742857144,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-08,2015,1,2,2,6,11228003,3389960,4790622,240766,25167720,7214582,1820373,0,6464049,2730029,52601,172944,109930,852235.82,65880.55,733537.22,1617.19,100515.72,138813.41,25953.71,36663.57,133051.04,238865.85,70774138.17,93.0,2.57,705.0,0.34366884285714283,0.32454699842857143,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-15,2015,1,2,3,7,29292230,10220480,3054664,555192,17222707,2895592,807798,0,3899950,3179412,52840,152907,182817,1133977.27,76448.15,256927.87,2170.91,216230.11,47919.75,11556.62,36663.57,247919.37,429769.98,130727968.55,93.0,2.5369999999999995,705.0,0.3210003857142857,0.331526858,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-22,2015,1,2,4,8,13951362,19897280,1909596,411057,22853008,6153145,441895,0,7935008,3389875,91415,153482,110222,1499565.65,111581.11,448748.58,4373.63,269925.33,177859.05,4482.7,61587.93,138066.62,456764.82,71633710.77,93.0,2.5380000000000003,705.0,0.32376525714285714,0.3265379177142857,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-29,2015,1,2,5,9,11632229,5304240,3125355,245246,9169475,11048906,479713,0,7167721,1818036,137757,211464,113793,371120.61,56460.64,738883.87,2840.23,104705.22,137914.11,12457.79,36164.83,221699.28,290201.72,88922739.21,93.0,2.531,705.0,0.4534235571428572,0.3474024661428571,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-05,2015,1,3,1,10,91367,8024170,3289943,367860,10665804,8934427,427329,0,6093112,3377012,92239,156635,109229,37609.88,92636.41,517676.06,2110.24,140855.93,130098.82,8019.01,53395.3,186820.25,493406.19,65777933.97,95.9,2.499,705.0,0.36723512871428576,0.3449143367142857,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-12,2015,1,3,2,11,17650599,16916640,2224051,343224,14763874,4305076,237779,0,3481182,3192477,93108,165370,186644,399804.51,128377.13,322266.59,1285.05,58268.0,115468.15,2828.46,25002.0,113476.08,436767.32,75016497.36,95.9,2.494,705.0,0.33828080928571425,0.3356487282857143,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-19,2015,1,3,3,12,18020599,6355566,1067955,283860,12320062,2618388,0,0,4065952,1446695,93515,272759,104467,1835973.8,33971.91,253911.61,2421.73,79412.8,39666.81,0.0,25002.0,79661.16,398029.2,96438356.01,95.9,2.57,705.0,0.31293278,0.3242000117142857,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-26,2015,1,3,4,13,2087021,25172952,1754369,306022,22011378,16893588,722480,0,3575143,4060529,54819,291715,204796,1281034.44,76331.89,422071.17,1698.7,148675.87,347878.27,10671.78,42860.57,144569.57,548793.02,190030036.25,95.9,2.656,704.1428571428571,0.3843857412857143,0.33820388185714284,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-03,2015,2,4,1,14,19969804,20426100,4036099,880064,20912002,15276254,302337,0,5347309,2535613,94640,294691,123993,2004768.73,126961.41,796207.11,5366.97,296678.46,552419.57,3568.04,25070.07,183944.57,517270.05,106526801.19,90.70000000000002,2.7489999999999988,702.0,0.3734150485714285,0.33417100657142856,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-10,2015,2,4,2,15,10093673,8076160,2656726,154599,272468,4062082,600073,0,6447126,2875774,55822,264114,178543,749867.46,44459.91,534880.08,1191.73,3115.01,125853.64,6945.9,50528.77,179219.39,233456.88,72085109.62,90.70000000000002,2.776,702.0,0.3201723815714286,0.3216597618571428,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-17,2015,2,4,3,16,139917,20030080,1546368,542794,31197335,7562079,867165,0,7544994,2596173,145108,164662,185686,44798.89,145240.86,202411.2,2934.98,127821.61,130434.64,9184.52,42956.02,250386.35,276756.36,74421903.03,90.70000000000002,2.8270000000000004,702.0,0.33338139314285714,0.3332836354285714,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-24,2015,2,4,4,17,15491967,15454133,887072,356980,19101601,7149488,731012,0,5495665,2983947,97583,154164,185756,609995.48,129235.37,101190.22,2083.93,169739.66,112353.17,4164.48,30183.94,191737.04,276880.6,132061381.41,90.70000000000002,2.857,702.0,0.3384572798571428,0.3354185152857143,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-31,2015,2,5,1,18,17983967,10551200,2728023,1465192,5317032,1832453,206878,0,4906187,1572671,57211,156676,100563,1670556.37,56594.13,193328.57,4891.12,125870.48,36844.51,2564.35,34471.97,107506.03,401330.43,77690596.12,96.1,2.863,702.0,0.33703051628571423,0.33186794899999994,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-07,2015,2,5,2,19,383404,7475463,2846213,510535,9887760,3200604,243904,0,3108679,1738660,96062,145971,164979,181565.27,35600.04,310401.44,1828.14,63921.46,89791.11,1391.14,54558.97,198010.97,232587.7,119823111.88,96.1,2.863,702.0,0.34191105000000005,0.3285358545714286,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-14,2015,2,5,3,20,20449066,24535760,2719821,505263,57177250,12212402,430616,0,4816498,1993800,58106,167736,169972,1691872.92,104443.67,420786.19,4709.75,166127.44,445654.4,2696.43,37309.0,183171.06,234637.12,96665486.19,96.1,2.918,702.0,0.3871624568571429,0.33092120585714285,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-21,2015,2,5,4,21,7339949,7619200,3884351,839511,41321100,4494314,423511,0,1908336,3005498,58485,226539,92794,364677.8,25456.33,439090.59,4691.41,213311.08,65555.2,3647.54,41117.21,75357.48,248228.77,63296503.58,96.1,2.895,702.0,0.33595532100000003,0.3330595847142857,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-28,2015,2,5,5,22,376796,15206053,1345382,466480,17098141,14598947,539238,0,2633213,1904205,100827,262143,102496,394206.58,95330.99,172690.98,1515.97,97349.82,220183.82,8042.32,40889.95,102504.04,492778.15,122461146.05,96.1,2.885,702.0,0.3890806408571428,0.34786664328571426,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-05,2015,2,6,1,23,10287435,4045520,3394227,341713,27191621,4244382,217156,0,1703343,3005755,29536,243409,152686,307507.49,31479.81,485900.45,1163.04,213310.51,122164.27,3745.66,17799.48,40324.23,346908.34,69612354.65,93.1,2.877,702.0,0.3304692185714285,0.33255945828571426,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-12,2015,2,6,2,24,21110850,7941760,2430564,33316,24500,3588574,146072,0,947431,2263987,29576,320369,148780,2126076.39,47193.66,300446.44,447.47,600.78,57915.55,2416.12,38312.43,41422.39,332692.7,61722756.59,93.1,2.9199999999999995,702.0,0.3672393741428572,0.3357988154285714,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-19,2015,2,6,3,25,2911197,7134120,1128890,33316,0,1799217,474365,0,1862510,1611408,102233,241003,90547,644679.25,81811.41,260724.1,447.47,0.0,45487.51,7627.03,22444.36,79214.87,359531.24,60584934.46,93.1,2.8880000000000003,702.0,0.3755175032857142,0.33701607571428577,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
