idcase,depvar,ic_gc,ic_gr,ic_ec,ic_er,ic_hp,oc_gc,oc_gr,oc_ec,oc_er,oc_hp,income,agehed,rooms,region
1,gc,866.0,962.64,859.9,995.76,1135.5,199.69,151.72,553.34,505.6,237.88,7,25,6,ncostl
2,gc,727.93,758.89,796.82,894.69,968.9,168.66,168.66,520.24,486.49,199.19,5,60,5,scostl
3,gc,599.48,783.05,719.86,900.11,1048.3,165.58,137.8,439.06,404.74,171.47,4,65,2,ncostl
4,er,835.17,793.06,761.25,831.04,1048.7,180.88,147.14,483.0,425.22,222.95,2,50,4,scostl
5,er,755.59,846.29,858.86,985.64,883.05,174.91,138.9,404.41,389.52,178.49,2,25,6,valley
6,gc,666.11,841.71,693.74,862.56,859.18,135.67,140.97,398.22,371.04,209.27,6,65,7,scostl
7,gc,670.1,941.25,633.63,952.3,1086.8,191.84,147.57,478.36,445.97,236.99,4,35,2,scostl
8,gc,778.03,1022.1,813.33,1012.3,990.21,187.61,158.66,502.4,464.77,203.78,6,20,7,valley
9,gc,928.34,1212.4,875.7,1024.8,1232.5,168.7,189.81,552.98,451.76,269.88,5,60,6,scostl
10,gc,682.88,1044.8,775.86,874.49,878.09,176.14,136.43,532.22,472.39,217.34,7,20,2,scostl
11,gc,858.26,815.69,792.29,774.69,1076.0,159.92,134.55,428.1,380.78,230.16,5,60,6,mountn
12,gc,1021.7,1007.1,944.35,1325.0,1249.6,214.8,190.79,568.33,475.72,246.0,7,25,4,mountn
13,gc,651.83,823.59,797.34,880.8,792.92,127.4,147.48,406.71,338.03,197.94,5,35,3,ncostl
14,gr,568.44,617.43,687.18,718.72,775.54,119.45,111.86,365.92,395.14,173.53,2,30,6,valley
15,gc,602.51,815.95,594.0,736.77,934.23,139.54,122.44,424.71,322.95,180.51,3,35,2,valley
16,gr,768.08,1114.1,801.2,1092.4,1108.4,198.39,160.99,443.16,380.19,229.37,4,35,4,scostl
17,hp,723.92,929.7,821.79,969.64,1058.0,160.4,147.08,432.58,446.38,209.57,6,55,2,scostl
18,hp,630.81,727.37,696.89,853.82,779.94,147.92,103.69,362.99,448.43,165.22,7,35,4,scostl
19,er,555.44,775.24,572.3,664.22,707.79,106.53,106.52,341.16,290.74,139.89,6,65,2,ncostl
20,gc,899.87,1214.2,925.62,1140.0,1155.3,213.84,186.6,561.69,528.22,251.16,7,50,4,ncostl
21,ec,657.54,892.16,788.07,799.52,1083.1,176.15,148.93,440.99,286.29,203.87,5,40,5,scostl
22,gr,761.29,1034.8,934.75,1009.5,1192.1,199.84,155.97,496.77,414.79,233.74,5,35,4,scostl
23,gc,575.07,865.23,619.65,880.97,879.44,109.94,130.64,417.32,362.24,196.12,4,20,7,scostl
24,hp,830.08,920.85,805.29,806.59,1162.8,188.69,146.41,599.15,389.6,220.51,5,35,3,scostl
25,gc,974.55,1047.2,943.05,1130.5,1196.8,206.99,174.96,577.2,510.66,217.19,4,45,3,ncostl
26,gr,737.47,1042.7,882.55,1187.9,1055.0,207.36,145.48,527.88,455.8,265.62,2,30,7,scostl
27,gc,803.75,921.48,869.65,942.49,962.02,172.26,162.25,486.99,427.11,205.72,4,35,7,scostl
28,ec,872.17,927.82,991.82,913.32,1117.6,185.3,182.66,584.83,473.1,238.28,6,60,4,scostl
29,ec,690.95,587.58,724.01,993.25,981.73,147.89,135.81,443.82,440.21,191.44,4,25,3,ncostl
30,gc,720.41,969.83,805.08,941.41,1159.4,174.76,164.62,540.32,436.33,212.74,7,55,7,ncostl
31,gc,677.05,918.54,838.01,1144.4,988.94,197.23,156.81,519.27,496.69,239.64,4,50,2,scostl
32,gr,665.07,876.29,671.78,976.01,723.81,150.21,146.17,422.32,412.46,214.03,5,45,7,ncostl
33,gr,974.53,1264.3,1030.3,1153.2,1271.9,186.48,194.23,600.58,550.22,248.47,3,65,4,mountn
34,gc,714.53,956.83,785.95,963.54,1091.7,201.48,170.79,535.48,472.71,235.78,5,60,5,scostl
35,gc,530.05,757.67,689.1,876.97,822.9,157.24,130.44,419.6,365.16,149.2,6,60,4,scostl
36,gc,687.34,776.77,918.92,897.8,898.21,165.15,151.81,472.24,421.59,162.02,4,35,3,scostl
37,gr,635.2,825.44,618.3,819.38,942.03,148.94,129.25,447.7,342.36,166.67,7,30,5,mountn
38,gc,651.67,847.01,891.58,1070.1,1087.4,171.33,158.73,493.19,436.25,234.78,2,60,2,scostl
39,gc,685.47,912.23,899.0,1060.2,1109.5,171.5,145.07,415.94,473.65,233.63,6,45,2,valley
40,er,790.89,1046.4,776.67,1054.0,1234.6,185.91,166.15,491.1,432.58,206.5,2,65,4,scostl
41,gc,785.89,1008.6,788.79,833.05,752.91,180.3,143.57,527.18,400.46,247.12,7,50,5,scostl
42,gr,943.98,1086.5,891.47,1148.3,1401.2,237.11,170.95,590.57,580.73,254.61,2,55,2,mountn
43,gc,579.96,834.61,828.73,938.83,1025.7,152.09,149.71,432.42,399.79,189.1,4,45,2,ncostl
44,gc,858.84,937.65,874.67,966.34,1138.1,188.06,159.64,434.61,438.07,230.64,5,30,5,scostl
45,gc,689.48,961.55,796.43,1054.4,976.77,149.06,156.24,455.08,409.72,196.88,7,45,4,valley
46,gc,937.94,962.07,938.58,1098.1,1124.5,183.58,162.36,486.87,466.19,232.35,6,55,5,scostl
47,er,549.58,761.69,588.55,810.51,728.21,155.71,120.48,386.33,296.41,120.97,4,50,4,ncostl
48,gc,806.58,1116.2,825.11,1143.9,1209.9,201.69,168.69,471.27,465.6,229.5,6,35,3,ncostl
49,gc,773.16,1016.4,828.27,929.43,1249.9,204.12,187.77,546.9,485.04,210.02,7,55,3,scostl
50,gc,814.5,935.43,733.4,1012.7,990.96,189.52,180.21,470.23,511.62,228.67,5,25,2,valley
51,gc,785.99,940.63,754.26,994.12,943.08,151.78,155.84,417.82,431.46,212.79,5,20,7,ncostl
52,gc,955.85,944.77,836.85,1026.5,979.49,195.4,163.78,519.74,372.3,226.16,2,30,3,scostl
53,gc,879.47,1208.5,963.76,1278.3,1188.8,203.06,189.06,559.93,566.55,253.22,6,30,6,scostl
54,gc,793.47,859.34,751.67,906.09,923.25,163.62,160.47,549.81,351.46,194.17,6,45,7,mountn
55,hp,793.14,961.0,1021.7,1162.7,1203.3,184.05,170.22,539.79,487.35,249.01,5,25,3,valley
56,gr,708.19,774.01,843.18,884.68,1106.2,142.82,139.45,439.7,376.64,169.36,6,50,3,mountn
57,gc,620.45,737.17,625.26,736.03,1119.4,166.47,145.17,416.16,366.49,225.75,6,30,6,valley
58,hp,1029.1,1292.0,970.49,1330.1,1265.4,232.62,191.89,594.04,594.01,289.06,3,25,4,scostl
59,gc,749.66,869.27,727.13,878.61,905.96,165.91,145.12,395.2,399.87,191.88,6,35,4,scostl
60,gc,736.2,922.14,762.51,996.61,1053.5,177.04,165.5,437.1,482.21,235.23,6,45,4,scostl
61,gc,680.33,860.08,747.32,1130.9,848.91,154.82,134.91,458.55,340.95,171.98,7,20,2,scostl
62,gc,667.29,587.15,608.57,810.97,935.99,157.71,138.7,394.54,407.61,187.03,7,25,2,ncostl
63,gc,882.05,1076.1,937.96,1100.5,1113.6,177.27,164.38,555.18,426.75,226.88,5,20,6,ncostl
64,gc,787.53,1038.3,912.46,950.35,1167.5,186.34,165.57,487.84,465.0,223.02,6,65,2,ncostl
65,gr,859.79,1148.0,805.94,1304.0,1121.9,192.97,181.05,523.39,462.51,226.53,2,35,4,ncostl
66,gc,790.11,838.37,790.89,1115.9,1099.3,191.43,164.08,481.81,421.19,219.55,2,30,5,valley
67,gc,787.87,793.57,743.31,856.94,891.41,174.64,160.72,408.74,393.27,209.99,5,35,5,valley
68,gc,623.39,663.42,702.5,752.47,906.87,150.24,113.03,394.83,276.6,161.34,2,50,7,scostl
69,gr,905.25,1111.1,901.4,1197.4,1182.8,235.92,185.77,581.12,511.4,247.48,3,35,6,valley
70,gc,784.09,968.43,971.55,1043.9,1219.9,155.01,149.54,488.99,444.21,218.31,4,60,6,ncostl
71,gr,677.8,798.21,612.24,795.83,911.19,106.55,111.86,381.86,340.06,168.31,3,55,2,scostl
72,gc,787.07,916.5,780.07,946.68,1018.7,207.62,148.84,483.15,408.11,194.6,7,20,4,valley
73,er,717.42,784.22,776.18,824.73,797.2,171.83,133.72,404.16,410.78,198.31,4,45,2,scostl
74,hp,720.32,800.6,804.51,831.37,1000.6,154.45,148.41,436.56,466.91,233.45,5,65,3,ncostl
75,er,635.33,739.0,683.38,865.94,943.68,136.59,104.56,366.14,344.24,154.9,3,30,5,ncostl
76,gc,823.32,950.89,994.11,1081.8,1003.9,161.57,171.33,540.44,412.44,246.85,2,60,3,ncostl
77,gc,803.38,824.38,696.87,916.09,915.55,144.71,146.18,390.06,361.0,210.77,6,40,7,scostl
78,gc,833.51,821.15,680.51,1191.8,1087.2,146.5,150.42,478.64,365.71,185.03,5,55,6,scostl
79,er,797.86,912.69,830.42,1059.3,1072.3,176.99,149.46,540.67,350.14,233.35,5,35,4,scostl
80,gr,849.92,960.28,829.45,1159.6,1269.8,186.08,154.22,483.75,419.31,243.39,2,45,2,ncostl
81,gc,781.19,700.08,721.85,921.97,811.22,145.09,139.21,451.02,393.07,215.63,4,65,3,ncostl
82,gc,557.31,599.31,602.71,790.37,730.41,120.96,108.32,432.28,294.28,125.56,6,45,4,valley
83,gc,716.35,787.85,845.69,866.67,992.42,174.14,145.18,471.2,429.95,172.24,2,25,6,scostl
84,hp,836.62,843.15,798.54,948.05,1000.6,194.54,160.7,490.3,474.72,200.57,7,25,2,ncostl
85,gr,710.34,740.48,757.17,903.52,804.28,137.9,141.86,464.56,424.56,175.82,2,55,5,ncostl
86,gc,804.94,867.24,800.49,1051.1,1160.1,174.56,152.86,491.37,447.05,246.3,5,20,4,scostl
87,gc,780.72,837.99,890.49,923.99,1123.8,183.72,173.93,442.27,387.07,253.97,6,35,4,ncostl
88,gc,659.43,881.69,850.44,990.48,1073.6,143.17,138.19,413.78,398.14,214.69,5,65,3,scostl
89,gc,717.84,888.67,834.43,845.59,908.34,151.82,152.33,420.26,393.68,195.72,6,20,2,ncostl
90,gc,505.93,733.97,573.53,670.05,949.44,125.04,110.92,411.4,383.81,158.38,7,40,4,scostl
91,hp,666.2,765.25,689.92,964.66,1070.4,144.44,144.31,499.32,395.14,227.88,5,30,2,ncostl
92,gc,804.6,925.58,704.06,1131.4,1129.2,146.29,143.9,491.24,461.14,251.66,6,50,7,ncostl
93,gc,673.69,814.08,692.2,848.99,902.39,144.01,138.18,496.55,414.58,174.22,6,30,7,scostl
94,gr,807.59,1010.9,993.06,1075.7,1131.0,181.42,161.65,516.69,457.27,265.34,5,55,6,scostl
95,gc,830.98,1033.8,948.83,1031.8,1048.8,182.24,172.94,607.08,488.6,227.72,7,25,5,ncostl
96,gc,906.69,1039.4,826.91,993.83,1125.7,179.65,183.94,560.33,478.5,233.94,5,40,5,mountn
97,gc,682.7,844.81,700.09,856.06,867.33,142.33,137.7,435.62,438.67,200.77,6,60,5,mountn
98,gc,672.11,1017.1,763.54,980.45,1033.1,169.22,132.12,404.11,397.23,242.22,6,35,6,valley
99,gc,816.25,942.39,977.49,1290.7,1226.6,200.79,161.42,556.5,496.1,250.06,2,35,5,scostl
100,gc,723.46,710.0,772.38,862.07,957.32,158.58,156.69,527.28,399.32,227.16,3,55,7,valley
101,gc,898.37,1173.4,1034.7,1185.4,1244.6,206.17,191.31,552.32,528.56,230.37,6,65,7,valley
102,gc,563.79,789.27,857.21,1072.5,852.05,139.48,136.32,393.83,378.97,164.53,2,20,4,scostl
103,gc,721.78,1016.5,773.6,1023.6,1013.1,176.34,132.86,482.73,455.12,220.91,6,65,7,scostl
104,er,806.66,731.43,941.68,934.18,1016.8,183.5,163.86,503.84,443.27,230.81,5,60,6,valley
105,ec,764.82,841.17,780.37,902.04,1097.8,160.79,157.28,455.62,399.82,209.28,4,35,6,scostl
106,gc,699.33,926.86,782.98,1039.1,1064.7,181.75,167.71,486.28,447.3,240.34,6,60,2,ncostl
107,gc,691.55,966.93,751.48,909.56,819.34,158.3,142.77,426.81,431.32,195.9,5,55,6,valley
108,gc,593.03,830.11,832.19,961.74,1032.7,148.62,140.45,392.19,396.08,195.99,5,55,4,ncostl
109,hp,878.07,1075.9,830.27,963.76,1272.9,196.27,195.07,512.74,471.12,205.3,7,35,5,scostl
110,gc,849.85,865.2,889.23,1107.1,946.43,172.15,153.22,568.84,489.56,230.63,5,55,6,valley
111,gc,846.58,933.31,830.64,946.4,989.79,182.25,138.43,557.68,434.39,212.26,2,50,6,ncostl
112,gc,722.34,820.73,746.92,917.13,742.53,160.97,141.9,440.13,366.51,171.04,4,35,7,mountn
113,hp,633.62,859.88,804.48,822.85,892.85,146.89,130.76,468.61,352.79,188.4,7,30,4,valley
114,er,665.87,760.66,682.43,712.86,743.13,163.27,142.52,353.46,236.67,184.17,5,60,3,scostl
115,ec,644.92,763.17,558.6,714.01,1014.0,160.75,142.59,420.88,390.62,169.97,7,55,5,scostl
116,gc,881.72,834.74,781.41,966.06,1058.7,183.73,174.38,489.76,313.51,193.82,3,20,3,mountn
117,gc,897.31,993.38,959.49,1146.7,940.05,184.06,166.4,553.79,428.3,258.28,4,25,2,ncostl
118,gc,840.91,840.93,816.38,1120.0,1069.5,169.91,166.33,511.18,478.97,227.01,5,45,2,mountn
119,gc,857.49,1044.8,860.01,1048.7,1225.0,180.38,160.26,530.38,478.6,226.16,7,30,6,ncostl
120,gc,741.95,775.09,702.16,984.69,849.63,155.61,162.27,545.82,404.09,214.44,6,20,4,scostl
121,gr,918.09,1163.4,1115.3,1225.5,1244.4,224.73,175.07,631.81,585.11,236.85,7,55,6,ncostl
122,er,746.42,791.99,801.58,1125.4,1118.2,169.39,176.56,481.92,442.36,223.81,6,40,7,valley
123,gc,953.81,914.01,867.54,1004.8,1184.7,193.8,186.6,479.2,445.86,250.95,5,30,6,scostl
124,gc,775.8,786.18,837.86,1027.6,924.67,185.82,149.99,480.42,422.81,240.97,6,40,6,valley
125,gc,669.15,876.55,792.1,1015.1,1096.5,178.94,142.5,467.16,399.22,242.67,7,55,5,scostl
126,gc,959.43,1227.2,1011.1,1142.5,1232.9,208.38,201.64,650.32,538.2,253.43,2,30,7,ncostl
127,gc,667.44,949.36,959.82,937.12,1017.2,156.49,172.01,409.16,403.31,212.98,2,65,6,scostl
128,gc,776.23,784.31,829.68,879.88,1016.6,157.99,125.75,489.05,329.56,216.27,5,45,6,scostl
129,gc,780.84,816.53,825.94,949.07,874.1,176.67,151.26,485.75,416.63,233.57,6,45,6,scostl
130,gr,670.58,817.37,699.84,875.49,945.08,158.16,158.33,472.75,375.23,185.03,6,45,4,valley
131,gc,827.22,1122.0,875.86,942.76,920.93,155.45,179.92,506.65,430.72,212.9,5,20,5,valley
132,gr,870.04,1004.0,835.0,957.79,1112.4,192.51,157.92,416.39,434.13,223.88,7,30,2,scostl
133,ec,864.18,857.69,889.76,1028.2,961.8,163.67,161.75,447.3,430.39,184.29,3,55,4,ncostl
134,gr,746.18,1132.6,746.42,1143.9,1126.8,185.37,170.24,561.85,464.07,226.74,5,55,2,valley
135,gc,742.61,942.26,769.34,979.5,955.22,172.01,134.01,432.26,417.86,201.25,7,45,7,valley
136,gr,733.2,853.06,686.17,931.27,993.43,160.83,177.99,499.06,428.07,240.04,5,60,3,scostl
137,er,658.86,737.19,638.89,722.43,759.69,106.31,112.04,425.91,314.75,170.71,2,50,7,ncostl
138,ec,948.68,901.83,968.98,942.23,1172.2,197.13,175.36,468.23,464.48,218.18,5,30,6,ncostl
139,gc,789.62,805.89,746.87,851.91,1009.3,162.9,122.62,456.03,416.61,207.57,7,35,7,scostl
140,gc,876.06,965.53,951.02,1082.1,1259.6,216.02,176.66,464.65,511.75,226.36,5,25,5,scostl
141,gr,790.0,930.1,750.84,1066.3,836.43,172.53,154.99,488.28,386.17,216.03,3,40,4,scostl
142,gc,704.92,940.6,817.23,1032.7,1196.6,173.88,163.3,476.01,444.25,223.01,3,65,4,ncostl
143,er,731.26,958.45,825.8,898.65,920.17,156.51,166.31,436.69,434.84,196.98,7,40,3,scostl
144,hp,748.62,921.39,751.55,1053.3,1097.8,140.8,142.97,510.11,391.91,171.52,3,65,2,mountn
145,hp,829.5,1006.4,761.5,1036.2,981.82,147.7,136.23,434.12,454.33,202.74,4,25,5,scostl
146,gr,862.48,966.9,1049.5,1196.7,1174.5,208.65,173.89,616.72,426.6,219.37,7,45,7,mountn
147,gc,858.69,997.94,1037.2,1080.5,1334.9,208.01,174.98,566.59,443.7,248.13,4,40,2,scostl
148,gr,898.97,932.3,1062.7,1143.4,1218.7,199.59,169.23,579.91,439.09,269.68,7,45,7,scostl
149,gc,638.31,918.01,794.43,931.96,950.49,162.31,149.69,434.36,410.36,197.05,4,55,4,ncostl
150,gc,821.55,1144.1,856.37,1143.6,1189.7,195.14,189.66,506.28,476.85,229.74,7,65,5,scostl
151,hp,798.04,919.13,834.49,869.79,1043.9,154.16,138.55,443.52,385.83,191.99,3,25,5,scostl
152,gr,780.24,830.71,671.65,834.96,1009.5,132.09,122.77,366.35,347.59,188.91,5,35,2,valley
153,hp,856.83,877.33,847.34,880.88,1038.1,180.95,148.17,474.76,446.05,248.99,7,50,6,scostl
154,gc,710.57,799.08,760.36,918.61,808.43,145.0,158.41,381.0,368.03,208.48,3,45,6,scostl
155,gc,762.4,915.74,767.82,907.21,1000.2,168.49,160.24,423.51,422.16,190.58,2,40,2,valley
156,gc,905.16,1134.9,872.04,1102.8,1151.0,190.87,209.18,543.87,500.2,252.74,7,30,2,mountn
157,gc,726.41,701.62,704.65,804.85,756.42,84.016,124.86,329.52,345.74,188.9,3,40,5,ncostl
158,gc,1020.1,1081.9,1035.7,1087.1,1349.0,198.63,185.03,577.5,496.08,279.55,5,45,7,scostl
159,gc,912.62,1197.4,826.93,1043.7,1268.0,192.91,176.93,576.16,488.24,225.51,2,30,6,scostl
160,ec,905.5,930.25,1049.3,1171.9,1269.8,216.21,156.13,562.42,447.68,238.68,2,55,5,scostl
161,gc,823.14,784.29,745.71,1009.8,794.77,143.98,122.95,403.66,368.16,194.95,2,55,3,scostl
162,gc,626.92,774.16,792.18,832.78,902.89,161.75,142.91,439.3,386.3,198.63,3,65,3,scostl
163,gc,730.04,942.26,828.49,994.13,977.65,168.92,152.35,395.62,404.83,169.81,7,45,7,scostl
164,ec,737.34,938.72,719.07,937.23,1152.8,180.92,135.97,540.11,445.78,243.44,6,65,7,valley
165,gc,750.5,1071.3,875.09,1032.4,1080.1,157.88,152.81,405.75,451.97,219.14,5,40,6,scostl
166,ec,854.97,932.54,784.33,1009.8,1026.4,204.25,148.74,606.83,466.33,254.63,6,35,4,ncostl
167,gc,795.37,1061.8,827.66,970.1,1122.5,171.5,150.81,527.86,416.79,224.5,5,35,4,ncostl
168,gc,699.04,752.94,769.52,883.17,972.78,172.32,155.6,493.3,388.91,214.3,3,50,3,ncostl
169,gc,790.18,1085.4,917.09,1025.7,972.09,194.12,176.79,509.22,464.06,225.94,6,60,5,scostl
170,ec,565.27,618.52,627.5,699.01,902.71,126.61,112.19,309.28,315.77,161.39,6,45,3,valley
171,er,774.64,815.35,590.71,884.25,745.93,145.76,148.28,345.04,371.73,172.99,6,40,7,valley
172,gc,732.16,721.6,571.47,696.42,749.5,112.29,95.678,299.97,317.33,173.02,3,45,2,ncostl
173,gc,461.29,609.41,633.56,643.4,811.23,117.15,113.8,305.42,273.62,143.66,2,60,7,ncostl
174,gr,834.94,974.41,982.74,1051.3,1169.1,181.13,136.74,481.83,434.05,222.22,2,65,7,scostl
175,gc,999.61,1091.9,1090.4,1301.6,1357.5,225.2,183.47,656.01,617.96,291.61,3,30,5,ncostl
176,gc,815.01,808.62,731.18,830.81,968.09,128.41,160.79,429.89,384.02,227.96,7,25,3,ncostl
177,gc,766.43,855.07,803.14,910.79,878.21,163.41,127.79,395.59,410.63,212.14,4,30,2,valley
178,gc,699.36,739.59,797.01,784.7,977.82,173.97,137.7,431.66,357.99,218.29,2,35,5,scostl
179,gr,831.35,1031.6,999.32,1129.5,1165.7,192.49,182.07,506.39,469.1,238.26,2,20,3,scostl
180,gr,891.21,948.24,864.36,1074.0,1163.8,189.43,152.95,527.33,444.04,239.53,2,35,6,scostl
181,er,908.85,1268.5,1024.7,1101.6,1386.8,204.84,182.85,539.64,483.42,276.01,3,45,5,scostl
182,gc,882.75,987.93,914.03,1071.8,1242.3,196.02,171.9,505.73,513.46,250.6,4,35,3,valley
183,gc,744.18,783.57,615.25,1095.7,966.42,176.33,132.93,466.14,407.9,233.42,3,20,2,ncostl
184,gc,776.22,979.6,759.93,1011.0,1102.9,171.35,181.56,472.16,457.24,176.56,4,50,4,ncostl
185,gc,748.78,1001.6,726.98,781.66,1050.6,167.03,160.29,399.74,417.19,238.77,7,55,4,ncostl
186,gc,1009.7,961.55,851.57,1086.1,1128.6,205.49,170.82,484.95,446.05,262.09,7,45,6,mountn
187,gc,838.99,1003.8,874.3,1138.8,1211.7,203.23,191.96,514.09,474.17,275.41,4,50,2,scostl
188,gr,826.04,814.01,648.87,915.66,933.08,174.14,133.78,452.66,404.9,223.3,3,35,4,mountn
189,gc,808.72,855.23,822.38,793.42,953.25,172.48,150.11,410.81,379.02,193.5,6,50,7,scostl
190,gc,780.0,935.0,887.59,970.86,837.47,170.95,156.33,419.26,369.25,201.67,7,40,2,valley
191,gc,864.44,895.08,862.51,864.5,962.14,184.87,158.31,592.39,475.79,228.38,7,45,3,ncostl
192,hp,791.31,711.16,753.19,1131.6,1036.7,156.38,121.9,457.04,319.25,185.1,5,55,3,mountn
193,gc,856.24,1220.1,1030.6,1058.1,1223.5,219.21,178.89,493.98,484.51,235.06,7,40,2,scostl
194,gc,996.95,1177.9,1086.0,1294.7,1217.5,190.72,198.5,617.38,496.15,291.26,6,35,2,scostl
195,gc,696.37,1027.4,830.43,1160.2,1206.5,175.16,167.99,470.43,467.34,221.63,3,40,5,ncostl
196,gc,752.3,770.49,751.83,848.08,1027.5,149.37,128.73,397.93,355.29,165.48,5,30,2,scostl
197,gc,769.07,974.72,859.3,1136.0,1134.0,209.11,176.55,496.57,403.9,213.23,4,60,6,ncostl
198,gc,845.93,895.4,849.39,910.96,1012.9,159.9,142.48,532.84,386.42,215.24,7,55,3,scostl
199,gc,873.54,992.31,744.9,1146.5,1038.2,137.4,178.67,469.41,479.18,216.58,6,40,2,ncostl
200,gc,814.21,942.32,869.21,1183.5,1293.7,159.09,147.4,595.36,483.74,223.39,5,50,2,ncostl
201,ec,647.22,882.06,766.6,822.64,919.73,147.59,157.59,404.0,446.81,178.87,5,20,3,scostl
202,gc,844.42,816.51,756.91,932.82,912.05,163.82,161.13,361.51,427.15,193.92,2,65,5,scostl
203,gc,582.18,784.36,572.63,718.6,977.31,143.84,115.12,380.89,349.28,142.67,6,65,6,ncostl
204,gr,744.1,808.98,741.52,1042.2,1058.7,175.45,158.48,507.67,462.53,230.67,3,35,6,scostl
205,gc,750.74,874.58,834.19,922.38,996.39,155.93,168.81,425.04,403.49,211.03,7,35,3,mountn
206,gc,769.35,948.34,862.46,1070.4,1322.8,166.36,153.94,535.77,459.76,210.87,5,30,7,scostl
207,gc,766.25,1011.1,862.36,921.46,1153.5,175.8,165.31,542.24,467.08,253.45,5,60,4,ncostl
208,gc,637.69,926.0,705.8,781.74,934.03,148.46,136.19,389.04,356.26,189.57,7,45,3,ncostl
209,gc,837.87,902.57,862.26,920.3,1125.3,182.38,160.36,527.4,449.51,234.32,2,45,2,ncostl
210,gc,676.21,998.17,812.52,1147.9,980.53,182.38,170.49,404.63,427.79,217.68,4,20,4,ncostl
211,gr,991.99,985.02,779.77,1127.7,1162.0,185.41,165.41,508.95,495.43,247.86,4,40,4,scostl
212,gc,734.38,768.22,785.86,943.43,1038.0,173.69,149.67,433.71,381.73,207.29,3,20,3,ncostl
213,gc,751.73,929.9,865.4,1028.8,1267.4,168.69,153.24,479.61,430.0,223.1,6,40,5,mountn
214,gc,861.18,1033.6,840.97,948.2,1057.4,180.32,167.47,461.58,504.86,222.08,6,50,5,valley
215,gc,773.56,899.9,906.75,1099.0,1010.3,163.6,157.63,486.66,443.17,228.59,4,45,6,scostl
216,gc,693.78,1163.8,809.43,1024.6,1047.5,190.03,145.41,521.66,439.42,200.08,3,35,3,valley
217,gc,762.26,865.6,847.76,1084.4,1143.5,181.11,155.17,455.54,433.99,231.35,6,45,3,scostl
218,gc,818.01,800.88,801.4,962.72,943.48,182.39,180.79,424.0,403.66,199.01,5,65,7,scostl
219,gc,893.89,1173.8,844.22,1207.3,1229.9,205.01,194.93,606.03,501.21,292.23,5,50,6,valley
220,gc,869.83,1085.5,1078.4,1126.6,1230.7,185.77,194.46,551.31,462.38,258.26,6,30,4,mountn
221,gc,897.46,1074.9,869.18,1094.5,1218.4,185.79,150.52,460.15,482.9,247.18,3,45,2,valley
222,ec,853.55,946.16,871.97,1085.7,1264.0,185.23,169.45,439.0,500.29,222.54,5,50,5,ncostl
223,gc,866.98,1088.5,893.4,1076.1,1112.2,199.47,172.27,559.43,460.13,221.26,7,60,7,valley
224,gc,814.83,937.55,881.21,938.53,999.68,162.27,157.38,595.97,445.52,229.41,2,50,5,scostl
225,gc,927.64,1024.0,819.27,1102.4,1191.5,156.13,172.82,461.21,531.35,247.93,3,65,3,mountn
