idcase,depvar,ic_gc,ic_gr,ic_ec,ic_er,ic_hp,oc_gc,oc_gr,oc_ec,oc_er,oc_hp,income,agehed,rooms,region
226,gc,799.5,965.2,867.3,1048.2,987.64,176.83,153.37,533.16,452.02,248.85,7,45,6,scostl
227,gc,792.17,891.63,866.93,908.78,924.6,151.9,141.42,434.66,449.98,195.8,5,35,5,valley
228,gc,770.33,918.49,838.84,967.88,988.41,152.9,134.9,504.09,437.24,222.03,3,65,4,ncostl
229,gc,923.22,1113.9,845.99,1133.0,1267.9,203.16,195.48,611.96,529.61,255.21,5,30,3,scostl
230,er,877.72,1012.0,747.24,960.07,1126.7,176.43,172.99,529.54,437.9,216.35,7,55,5,mountn
231,gc,710.54,829.03,611.82,900.03,806.29,147.07,139.78,377.69,274.67,169.98,4,55,2,mountn
232,gc,712.01,928.77,772.32,672.55,954.25,162.72,157.26,397.17,397.71,232.87,5,50,7,ncostl
233,gc,910.68,916.21,970.3,1098.1,1117.8,218.36,174.83,543.32,463.74,251.39,2,55,7,scostl
234,gc,829.19,915.0,950.57,1134.3,1074.5,169.75,171.73,503.89,447.69,211.28,7,60,3,valley
235,gc,894.18,955.61,791.73,980.81,1075.1,166.23,145.29,474.16,471.14,224.11,7,50,2,scostl
236,gr,788.5,910.04,749.7,929.75,1083.2,160.02,133.4,361.47,421.42,221.4,3,30,3,scostl
237,gc,728.18,695.28,833.31,904.6,865.39,167.45,149.34,407.64,357.75,199.03,6,55,6,scostl
238,ec,690.79,721.42,671.99,777.71,770.33,156.5,130.26,427.74,320.46,170.43,5,60,2,valley
239,gc,805.87,847.48,997.63,1173.4,959.95,176.89,156.63,568.85,490.72,203.23,4,30,5,ncostl
240,gc,824.04,928.98,800.93,1052.8,1028.7,171.42,148.75,489.61,406.71,249.91,3,60,5,scostl
241,gc,838.86,890.02,935.84,1013.5,1148.1,173.65,172.39,517.02,436.58,239.41,4,30,7,ncostl
242,gc,734.11,828.67,855.05,813.19,961.38,160.17,149.27,428.0,375.64,201.14,5,60,6,valley
243,gc,978.23,1244.5,1077.2,1271.3,1183.9,192.98,188.67,568.57,462.07,263.15,7,50,4,scostl
244,gr,650.74,941.36,859.88,1042.4,933.15,165.97,158.0,435.38,395.07,231.18,3,50,6,scostl
245,gc,787.95,838.1,696.95,1005.5,944.22,167.34,145.63,514.55,342.4,229.64,4,20,6,ncostl
246,gc,720.02,833.69,792.32,928.82,1024.3,178.24,152.15,468.84,377.26,215.44,7,45,4,ncostl
247,gr,874.22,967.58,928.84,1138.0,1208.1,188.0,173.56,542.68,447.52,228.48,5,65,2,scostl
248,gc,542.23,705.08,548.36,810.67,826.06,116.0,110.32,328.48,351.53,148.94,5,20,2,ncostl
249,er,731.08,947.41,820.16,969.93,958.49,175.24,145.13,447.49,484.12,241.28,3,30,3,scostl
250,ec,600.29,772.63,721.26,920.99,956.48,142.42,137.13,401.92,366.3,178.5,3,65,6,ncostl
251,ec,720.23,781.31,744.33,973.68,825.02,161.83,168.47,443.21,332.49,212.46,4,50,4,mountn
252,hp,736.05,800.06,831.1,905.93,758.72,142.2,151.61,413.13,365.69,202.9,3,20,7,scostl
253,gc,681.14,860.54,662.38,1012.2,962.58,154.02,136.94,400.81,364.89,194.08,2,60,7,ncostl
254,gc,646.85,829.19,741.66,834.06,1016.3,170.7,143.79,484.88,396.63,225.24,5,30,4,mountn
255,gc,933.56,991.03,898.63,1263.8,1093.8,194.26,169.65,507.36,500.19,224.2,2,60,2,scostl
256,gc,871.6,804.32,813.86,1014.2,889.44,175.22,160.3,487.66,425.83,228.88,6,40,7,valley
257,gc,884.58,1074.8,981.34,1204.1,1369.4,199.41,186.66,535.16,509.91,232.76,2,65,7,ncostl
258,er,630.79,823.18,640.26,831.63,853.47,141.15,153.87,423.95,333.72,165.36,2,60,4,valley
259,gc,732.12,948.08,813.66,988.02,997.33,159.63,143.01,451.7,434.16,225.52,7,35,2,ncostl
260,gr,517.94,672.57,547.49,658.38,761.02,115.24,96.281,379.72,324.11,131.52,6,25,2,scostl
261,gr,750.95,835.25,695.15,836.76,906.18,170.01,153.96,405.56,398.01,177.48,7,20,7,scostl
262,gr,676.59,676.19,713.75,966.32,864.39,157.46,109.57,414.15,404.63,177.2,2,65,4,scostl
263,gc,745.2,904.73,905.57,870.51,1149.3,182.72,154.08,509.0,414.15,239.24,6,60,6,ncostl
264,gc,698.35,820.15,726.0,802.66,796.82,156.94,145.79,445.24,334.26,196.51,2,50,3,ncostl
265,gc,837.62,889.34,974.93,1134.5,1089.8,185.79,161.61,498.3,459.8,253.07,7,30,6,scostl
266,gr,698.01,929.45,764.99,1029.0,1109.9,194.93,149.49,455.82,438.16,207.92,5,60,4,valley
267,gc,862.79,1044.7,781.97,1042.9,936.76,172.52,155.93,473.85,434.07,226.74,2,40,3,ncostl
268,gc,752.24,1034.6,833.92,1070.6,1072.2,166.1,156.78,456.8,393.92,232.22,5,30,2,valley
269,gc,701.71,984.66,760.21,1062.3,963.61,205.55,150.11,470.87,425.45,225.3,4,65,2,valley
270,gc,889.35,1107.0,930.12,823.09,1204.7,192.31,157.67,535.12,393.81,257.38,5,25,6,ncostl
271,gc,790.05,982.79,690.81,867.46,1126.5,183.06,150.84,453.45,438.26,208.9,4,65,7,scostl
272,gc,647.77,863.71,743.53,886.04,1136.7,155.07,128.38,447.32,366.82,199.06,2,40,5,scostl
273,gr,666.04,784.55,746.07,838.46,1025.8,147.5,150.05,360.22,333.12,172.87,6,65,3,scostl
274,gc,760.58,932.89,765.49,988.72,953.73,162.6,152.1,451.82,440.08,232.28,5,30,6,scostl
275,gc,517.82,601.96,568.02,834.82,916.08,137.61,97.743,415.48,318.78,176.03,6,60,6,scostl
276,gc,915.06,944.35,818.47,1171.4,1209.4,191.89,172.73,511.62,524.37,231.36,4,35,2,valley
277,gc,638.85,737.19,733.77,909.1,927.11,145.74,144.98,458.83,367.78,182.82,3,20,3,valley
278,gc,820.44,1049.9,759.85,983.98,1258.0,162.52,166.11,430.39,421.26,245.45,6,60,6,valley
279,gr,793.75,921.46,834.63,1112.3,1025.3,181.52,158.98,491.21,488.44,203.96,4,25,5,scostl
280,gc,577.96,669.89,503.2,592.88,724.34,111.94,85.215,276.45,294.0,189.59,4,35,2,ncostl
281,gc,915.75,1128.4,830.13,1156.8,1355.9,199.82,192.98,594.3,490.7,251.94,6,60,4,ncostl
282,gc,703.58,976.0,890.08,1077.9,1182.3,165.27,168.2,487.47,432.31,222.52,5,50,4,scostl
283,hp,973.44,854.95,801.76,1022.7,1201.4,162.24,179.01,506.17,490.01,287.52,2,40,3,ncostl
284,ec,574.09,574.94,469.61,757.71,853.3,122.2,109.76,347.75,266.92,168.98,3,45,3,mountn
285,gc,953.99,1171.5,871.74,1032.0,1315.8,234.04,203.68,631.83,459.84,274.88,4,60,6,scostl
286,er,709.93,904.05,735.84,945.8,964.59,192.39,136.86,445.16,440.28,222.09,7,25,7,mountn
287,gr,752.96,953.48,707.68,921.81,1038.5,181.68,142.73,442.37,411.69,235.72,4,60,7,scostl
288,er,771.37,810.06,805.33,937.27,1038.9,161.92,156.55,498.77,376.04,237.6,5,25,6,scostl
289,gc,846.21,1030.3,728.83,907.28,989.24,167.54,146.89,523.68,479.98,207.13,7,60,7,scostl
290,gr,806.19,903.01,759.33,882.35,928.98,189.63,135.41,474.95,454.78,220.0,6,40,7,valley
291,gc,1060.7,1286.2,1121.5,1163.3,1399.5,226.07,194.13,577.34,545.45,255.74,2,20,3,scostl
292,gr,618.22,599.51,553.67,649.32,645.18,133.69,118.88,334.79,371.59,187.33,5,30,7,scostl
293,ec,880.03,1099.6,972.53,1048.1,1238.4,226.76,166.87,571.36,514.03,276.89,4,60,5,valley
294,ec,833.18,1033.7,1013.3,1133.3,972.81,216.1,160.9,517.78,464.22,205.1,6,40,6,ncostl
295,hp,594.71,737.9,659.64,810.42,765.11,144.9,119.62,289.07,268.86,136.46,6,55,6,valley
296,gc,989.79,1121.8,950.06,1162.1,1432.6,235.97,177.48,592.32,575.35,270.85,5,25,6,valley
297,gc,1158.9,1344.0,1172.2,1378.5,1679.8,240.52,227.92,668.92,607.31,318.07,4,40,5,ncostl
298,gc,666.75,752.06,908.33,1001.5,922.44,197.29,162.11,512.51,396.63,194.56,5,55,7,mountn
299,gc,766.12,963.26,805.29,904.49,1112.0,151.52,149.69,555.26,421.67,201.53,6,25,6,scostl
300,gc,766.58,850.07,797.07,938.75,1013.3,161.43,131.03,464.57,368.04,224.86,2,40,5,scostl
301,ec,851.39,897.55,891.78,960.32,1073.9,197.27,156.7,490.55,543.32,228.18,7,35,5,mountn
302,er,700.22,939.05,682.94,979.56,1009.9,165.61,141.8,452.72,363.63,189.29,6,20,5,ncostl
303,gc,612.73,901.77,609.77,812.85,885.24,137.82,133.26,483.0,346.41,198.84,6,45,3,ncostl
304,gc,678.97,729.76,780.56,945.21,1185.9,178.72,150.39,502.5,503.45,243.52,5,20,2,ncostl
305,gc,715.15,1101.8,884.29,954.86,1153.4,179.94,167.11,522.42,432.91,238.48,2,20,2,valley
306,gc,711.7,768.66,659.44,846.68,819.69,149.74,143.28,459.05,398.77,156.8,7,65,4,scostl
307,gc,772.1,944.73,812.97,994.08,1201.5,183.51,157.86,517.11,423.17,216.29,6,55,5,valley
308,gc,636.67,598.09,695.57,811.78,946.63,146.82,123.95,465.47,350.94,221.91,5,50,6,mountn
309,gc,712.52,969.92,857.28,996.7,1051.3,176.48,159.61,514.34,385.69,190.58,3,25,4,scostl
310,er,689.45,841.48,787.86,845.19,795.67,165.89,121.55,373.04,318.46,197.27,7,60,6,scostl
311,er,794.09,1155.9,811.48,905.9,1036.1,174.34,161.43,452.5,447.92,227.2,4,45,3,valley
312,gc,550.69,874.51,714.12,836.16,887.74,155.56,146.79,469.38,353.51,184.43,4,20,7,valley
313,er,611.85,631.9,680.46,649.59,873.09,85.38,103.37,316.04,289.65,165.46,7,40,3,scostl
314,gr,523.78,659.84,582.82,650.23,547.07,101.13,99.106,334.84,179.95,131.39,2,25,7,scostl
315,er,762.69,1036.0,942.12,1159.8,1284.8,202.69,190.72,558.99,500.52,275.65,5,20,6,valley
316,gc,675.88,982.51,832.37,974.27,915.51,169.57,171.3,451.39,542.89,196.29,7,55,5,scostl
317,hp,688.9,854.09,694.89,903.41,922.36,157.22,136.82,355.0,351.11,223.81,3,55,6,scostl
318,gc,620.53,765.28,803.74,1049.2,958.5,164.48,118.28,460.15,450.43,197.49,5,60,3,ncostl
319,gc,717.62,767.36,784.77,1033.4,872.11,125.58,135.02,420.25,400.75,162.07,5,45,7,ncostl
320,gc,639.57,617.23,598.65,797.09,907.87,153.28,140.52,370.7,323.85,143.14,5,40,4,ncostl
321,gc,870.96,958.38,687.68,887.54,1146.0,157.28,148.22,498.16,353.33,206.2,4,40,5,mountn
322,gc,912.33,1009.8,949.9,980.42,1109.0,209.83,171.79,521.6,430.61,219.72,3,35,2,scostl
323,hp,678.75,787.68,789.56,867.15,979.58,156.93,140.96,425.02,417.7,199.08,7,20,4,ncostl
324,gc,587.57,775.19,808.48,899.89,813.02,154.63,127.0,307.07,342.22,175.56,5,30,5,scostl
325,gc,542.06,833.24,767.21,682.41,826.01,172.31,133.85,327.01,319.93,171.44,2,60,2,ncostl
326,gc,651.12,683.84,684.31,769.85,825.56,135.41,116.65,419.64,341.57,181.05,3,40,5,valley
327,gc,739.94,934.03,747.15,986.81,1003.9,149.79,137.4,492.56,392.68,225.82,2,25,4,ncostl
328,gr,833.14,917.79,806.11,1007.6,1070.7,199.78,144.96,465.17,353.87,223.83,4,55,7,ncostl
329,gc,673.25,776.08,732.96,931.23,835.62,127.77,150.11,411.73,393.77,190.53,4,65,4,scostl
330,gc,671.87,642.14,677.16,737.0,884.84,137.99,140.17,296.42,321.48,156.31,6,35,6,valley
331,gc,771.49,918.24,887.42,1029.9,1184.8,173.71,156.13,453.9,469.63,215.07,7,50,5,valley
332,gc,812.45,958.07,870.61,916.22,957.34,145.55,150.29,516.91,457.7,215.24,5,40,6,scostl
333,er,830.48,995.81,918.02,911.28,1182.2,175.34,175.52,495.84,526.92,237.27,7,35,2,scostl
334,gr,777.6,1095.6,946.73,1038.6,1191.5,201.63,190.56,519.01,528.83,260.57,3,35,5,scostl
335,gc,956.69,947.65,900.89,1033.3,1059.3,197.67,151.48,567.95,534.39,231.91,7,30,7,scostl
336,gr,820.43,1019.9,920.04,1005.9,1051.6,189.17,169.77,503.16,437.02,232.41,7,55,2,mountn
337,gc,825.16,1037.8,895.71,1164.3,1141.2,186.41,174.8,508.19,496.39,224.22,6,20,5,scostl
338,gc,748.8,939.21,783.96,1016.1,998.94,167.93,136.15,502.5,426.62,202.12,7,35,7,scostl
339,gc,728.61,787.29,730.14,959.81,885.08,150.92,157.29,483.05,377.76,197.04,7,50,4,valley
340,hp,687.14,754.5,784.16,1034.4,929.89,162.9,154.14,428.66,430.46,177.87,6,50,3,valley
341,hp,824.61,861.36,791.92,930.48,1048.4,202.49,156.92,397.74,455.6,215.71,6,30,6,mountn
342,gc,727.56,860.2,925.33,902.35,890.95,169.73,154.3,551.61,389.86,250.44,6,65,3,mountn
343,gr,604.58,772.73,753.8,746.86,791.37,143.92,115.31,446.48,378.64,159.39,6,50,4,valley
344,gr,937.77,1104.4,973.91,1193.9,1064.7,189.51,159.37,503.14,406.55,211.04,7,40,4,valley
345,gr,644.21,821.76,797.07,935.07,816.22,157.91,122.9,371.04,423.6,173.76,7,40,7,ncostl
346,er,893.85,935.4,999.62,1119.9,1150.5,196.44,145.7,566.7,440.2,257.19,2,20,2,valley
347,gc,837.69,942.03,886.93,1014.4,1047.2,166.54,145.74,492.99,373.51,237.23,7,30,6,scostl
348,gc,744.25,856.65,633.2,905.27,1054.1,146.28,146.11,398.74,385.03,187.53,2,30,3,scostl
349,gc,705.46,974.04,812.78,967.18,932.1,160.14,139.06,484.29,461.94,215.77,6,55,2,ncostl
350,gc,767.71,861.92,1039.9,1076.2,1104.4,199.71,131.62,479.46,456.63,228.66,4,35,6,ncostl
351,gc,817.5,1009.7,883.41,1060.9,1062.8,166.14,138.59,475.57,436.8,219.24,6,50,2,valley
352,gc,1115.5,1224.3,1230.5,1269.2,1478.4,233.86,216.82,664.73,644.83,291.8,3,55,3,ncostl
353,hp,839.74,844.67,892.08,991.22,1082.2,178.07,125.23,498.94,464.55,226.4,5,35,3,ncostl
354,gc,913.57,963.16,891.91,991.79,1113.8,179.24,194.59,524.58,479.58,254.08,5,50,7,valley
355,gc,714.72,860.27,837.95,795.56,928.97,149.42,136.51,367.85,368.2,220.39,2,50,3,mountn
356,gc,796.96,838.71,799.12,1112.0,1064.4,162.0,159.66,413.4,444.84,209.97,5,40,2,scostl
357,hp,902.22,950.24,941.14,1179.8,1144.7,175.63,154.19,525.23,459.84,252.95,6,20,7,valley
358,gc,644.83,624.24,645.75,811.61,933.12,125.16,117.02,395.05,302.21,184.57,7,20,3,ncostl
359,ec,630.83,722.92,669.18,779.28,998.61,127.63,156.46,388.09,355.56,193.85,5,35,7,ncostl
360,gc,928.53,1147.0,952.33,1164.2,1301.4,219.51,196.17,598.98,525.2,265.01,4,30,5,ncostl
361,gr,904.81,1039.6,996.58,1216.0,1145.9,221.16,186.96,599.07,506.99,269.18,6,25,4,scostl
362,hp,842.36,894.74,786.49,978.55,1173.6,169.93,163.16,445.79,439.48,199.34,3,30,7,scostl
363,gc,771.77,910.39,840.15,937.5,875.67,168.1,136.68,524.99,409.4,208.14,5,65,5,valley
364,gc,511.33,673.44,668.03,869.54,902.55,133.59,130.32,372.65,336.66,187.41,4,50,3,scostl
365,gc,638.33,784.26,676.68,860.54,797.1,152.09,111.6,341.63,419.5,212.84,6,25,7,ncostl
366,gc,790.16,939.18,868.39,1072.8,1178.4,205.46,143.38,492.93,399.78,231.54,7,65,2,ncostl
367,gc,641.11,743.42,605.69,831.35,931.17,136.17,130.27,387.18,373.99,186.32,7,60,7,ncostl
368,gc,704.88,859.98,875.59,987.38,1119.2,202.59,176.03,536.78,537.83,257.43,4,65,5,valley
369,gc,680.64,1010.1,797.76,888.02,1028.8,171.83,156.58,448.46,420.4,210.78,7,40,6,scostl
370,hp,790.53,1044.9,1032.6,1030.5,1189.0,213.63,181.59,548.19,527.27,259.1,7,60,2,ncostl
371,ec,663.23,791.26,690.2,943.5,782.56,141.43,153.41,481.91,374.82,157.72,2,45,3,ncostl
372,gc,753.99,1031.8,754.48,985.05,1069.5,167.1,167.64,504.42,425.53,194.18,7,30,4,ncostl
373,er,862.34,999.63,869.77,1065.5,1126.2,153.46,179.84,529.09,502.64,218.25,3,40,7,scostl
374,gr,834.88,1030.9,903.97,1233.7,1203.8,190.58,168.74,501.59,475.15,285.61,3,55,2,scostl
375,ec,923.44,1253.5,1116.0,1240.9,1207.0,229.15,207.6,561.68,555.23,226.61,5,50,4,mountn
376,er,726.94,938.84,638.76,871.37,989.48,158.65,154.19,420.4,381.54,218.51,3,20,7,scostl
377,gc,948.35,1056.6,784.55,1100.8,1249.7,184.83,175.71,534.44,400.62,219.23,4,25,7,valley
378,gc,950.87,1016.2,986.68,1125.5,1184.2,230.79,159.9,602.87,548.59,271.07,6,60,6,scostl
379,gc,729.68,867.52,726.93,800.55,1021.1,156.05,142.23,448.9,405.51,196.67,2,40,7,scostl
380,gc,759.99,808.56,803.12,920.97,1057.6,166.24,148.9,539.63,406.81,216.37,7,30,3,ncostl
381,gc,916.11,1125.9,779.0,1001.6,1179.7,178.62,154.16,519.77,430.39,231.79,5,55,2,scostl
382,er,848.85,1054.8,827.53,1014.2,1055.3,155.95,158.13,467.65,427.23,235.92,3,55,3,ncostl
383,gc,774.2,892.35,776.15,928.73,990.22,162.84,158.5,479.89,455.67,210.31,4,55,2,scostl
384,hp,866.99,933.83,833.09,1003.9,988.95,157.16,170.39,442.4,418.46,201.48,3,60,5,ncostl
385,gr,808.65,916.58,824.57,829.13,1044.8,170.2,156.92,518.95,401.19,220.34,7,30,2,scostl
386,gc,687.46,848.1,628.52,949.66,781.79,126.12,140.15,441.71,431.52,189.03,6,55,4,scostl
387,gc,897.65,1178.9,994.94,1286.0,1310.8,211.64,162.43,651.51,516.69,284.6,6,25,4,scostl
388,gc,574.98,670.07,735.11,670.31,805.4,116.38,108.54,313.68,316.69,151.86,3,50,4,mountn
389,gc,900.74,939.43,897.29,1102.0,1036.7,151.77,163.07,486.4,429.41,230.52,5,20,7,ncostl
390,gr,942.24,936.54,897.86,993.85,1212.1,196.79,172.48,497.18,462.32,259.38,3,40,2,mountn
391,gc,765.51,921.48,737.04,954.12,1069.0,191.93,147.1,493.78,432.99,230.85,6,30,5,mountn
392,gc,829.04,1038.6,949.62,1087.6,1178.2,193.76,178.62,635.07,480.52,251.73,3,25,2,valley
393,gc,745.52,868.3,658.79,831.17,1021.6,155.87,129.79,416.09,389.34,193.77,5,65,7,ncostl
394,gc,786.05,965.64,738.87,1144.0,1134.7,171.95,174.4,489.06,480.19,201.67,7,65,2,ncostl
395,gc,855.21,1006.7,1004.3,1074.0,1186.2,208.04,181.47,549.84,512.84,295.65,7,45,4,scostl
396,gc,823.89,959.46,888.78,1194.2,1207.6,163.4,159.14,434.79,461.71,215.49,7,50,6,valley
397,gc,808.88,1083.8,842.81,1110.5,1091.8,165.81,187.83,474.89,402.59,263.82,6,55,3,valley
398,ec,487.73,608.85,527.14,560.98,750.97,135.32,102.47,319.25,321.52,155.01,4,30,2,scostl
399,gc,714.03,703.31,742.97,737.89,913.01,156.45,166.75,501.53,414.89,183.08,4,45,3,scostl
400,gc,858.25,1056.0,895.16,1171.5,1053.7,195.41,178.06,556.3,493.25,244.71,7,60,4,scostl
401,gc,735.86,990.86,832.2,918.13,892.94,177.04,134.88,417.75,363.41,201.34,4,40,5,mountn
402,gc,790.41,966.96,890.59,989.58,1093.9,172.9,177.87,443.96,464.09,197.09,5,55,4,scostl
403,gc,942.83,1087.4,972.55,1158.5,1251.6,206.61,171.93,642.91,451.85,259.33,2,35,6,scostl
404,gc,838.8,1061.3,881.42,1091.3,1161.7,172.93,162.44,411.17,447.4,227.65,5,20,6,ncostl
405,er,724.76,906.61,688.3,848.97,1019.8,184.91,137.69,460.86,390.41,247.69,6,25,7,ncostl
406,gc,612.54,722.41,816.12,875.46,868.75,148.87,132.48,410.37,329.39,188.61,6,50,2,scostl
407,gc,686.08,869.79,688.79,900.63,1073.8,181.93,137.56,412.95,448.64,182.43,5,25,5,mountn
408,er,571.72,802.27,630.2,617.0,693.97,110.19,118.45,336.03,233.34,176.57,5,35,6,valley
409,ec,802.27,763.23,972.65,999.42,1075.6,185.64,168.08,421.72,471.44,266.45,2,45,5,scostl
410,gr,798.94,1106.3,956.48,1091.2,1167.8,196.2,165.87,485.09,470.55,249.82,2,45,4,scostl
411,ec,553.05,688.22,579.32,734.29,716.84,115.37,79.979,412.06,319.91,132.51,3,45,4,mountn
412,gc,697.18,915.31,649.79,729.6,950.03,146.54,125.5,419.05,305.17,166.92,6,30,5,scostl
413,gc,899.62,1066.7,1055.5,1216.6,1255.3,218.23,208.12,632.62,601.71,259.55,4,60,3,scostl
414,gr,894.81,861.16,756.41,979.31,1038.9,171.78,186.15,473.0,499.43,213.49,3,50,7,scostl
415,gr,942.14,1150.7,1207.1,1177.6,1242.3,224.79,179.75,543.52,600.67,267.91,4,25,4,scostl
416,gc,924.11,892.66,848.21,942.91,1252.1,178.1,162.44,494.14,444.41,223.12,6,45,6,ncostl
417,er,779.35,1008.5,600.74,941.28,1060.6,155.08,143.94,474.77,407.53,198.49,7,20,6,ncostl
418,ec,742.21,1061.2,824.51,1092.8,1157.7,164.57,139.61,411.34,488.74,252.76,6,40,7,ncostl
419,gc,748.31,948.75,746.97,1029.6,901.49,165.08,141.72,467.21,345.55,200.68,2,45,3,ncostl
420,er,826.29,906.88,751.11,962.17,1109.9,167.15,165.6,491.31,434.39,244.81,5,40,7,mountn
421,gc,769.99,990.44,678.62,926.42,1037.9,165.63,145.37,528.8,429.47,233.95,4,50,2,mountn
422,gc,681.35,773.91,677.0,734.42,868.99,138.74,118.04,426.89,278.62,158.39,2,25,2,valley
423,gc,607.74,832.82,673.56,909.99,866.02,142.6,122.59,496.56,382.64,170.93,4,25,7,scostl
424,gc,745.82,895.18,861.39,816.48,982.89,183.71,157.95,507.31,403.22,224.18,4,35,4,valley
425,gr,543.85,700.59,506.31,766.87,712.22,122.62,107.56,300.52,323.44,163.81,4,65,3,mountn
426,ec,769.13,880.28,978.91,1042.1,1272.5,198.89,164.65,500.76,500.67,218.7,7,40,2,scostl
427,gc,873.01,1069.8,789.1,1064.2,1045.5,195.62,184.84,565.18,507.7,231.08,7,50,3,mountn
428,gc,758.99,664.09,680.55,968.71,912.42,160.4,146.48,410.01,367.68,209.38,7,50,3,scostl
429,gc,628.2,843.9,731.84,835.86,868.3,166.58,139.77,476.78,390.86,177.77,7,30,5,scostl
430,gc,734.31,1073.4,942.92,1174.4,983.15,192.03,159.05,530.84,482.65,220.81,2,20,2,mountn
431,gc,694.64,1022.6,870.86,1054.7,1138.9,203.42,180.62,481.08,555.04,247.22,7,65,7,scostl
432,gr,775.87,1170.9,830.17,1254.9,1103.9,197.74,190.01,605.9,571.11,219.44,4,35,2,scostl
433,gc,919.35,1107.1,1045.8,1038.6,1208.0,209.71,176.02,560.75,531.8,274.88,5,20,3,ncostl
434,gc,861.98,893.18,987.42,1095.7,1126.7,174.42,187.18,526.29,436.11,240.98,4,40,4,mountn
435,gc,563.75,760.35,734.43,850.06,889.96,124.44,137.86,422.1,351.19,206.79,3,35,4,scostl
436,gc,682.3,900.17,725.26,804.12,917.82,162.2,129.91,393.07,369.32,164.1,5,35,6,ncostl
437,gc,1064.3,1113.2,1120.5,1236.0,1454.8,248.43,185.95,643.91,526.42,296.38,6,20,7,scostl
438,gc,834.95,984.91,1004.5,1128.9,1179.2,180.11,173.79,578.71,485.34,217.09,2,45,3,ncostl
439,gc,668.77,639.3,709.8,827.27,848.57,153.44,116.06,360.78,378.45,161.73,7,35,7,ncostl
440,ec,816.69,926.28,847.97,1202.9,1097.0,210.65,192.62,483.68,424.13,199.54,5,50,7,ncostl
441,gr,792.8,1005.4,842.38,845.77,1017.9,163.58,135.44,498.09,419.43,214.5,6,50,3,valley
442,gc,879.18,1041.0,944.05,1116.1,1096.8,179.7,167.76,516.06,446.97,229.79,7,65,4,valley
443,gr,886.39,1085.6,898.18,1046.5,1236.0,195.35,148.93,582.23,506.74,258.52,6,45,3,valley
444,gc,818.91,952.02,929.92,1097.0,1202.2,195.13,180.96,550.24,466.43,244.88,7,40,4,ncostl
445,hp,812.02,821.46,731.23,726.22,937.13,190.17,134.81,490.63,406.17,187.44,2,60,4,scostl
446,ec,758.86,913.56,689.81,1000.7,896.83,179.59,136.34,454.34,463.23,215.67,6,45,7,ncostl
447,er,699.15,870.94,793.02,1019.8,906.11,171.17,136.34,409.51,375.35,200.05,7,30,7,scostl
448,gc,991.29,1101.4,968.86,1296.5,1299.3,218.62,206.02,627.96,524.53,258.64,2,40,5,scostl
449,gr,757.48,822.16,842.36,921.66,996.68,151.22,143.49,463.24,450.74,230.47,2,60,6,valley
