frequency,recency,T,monetary_value
2,30.43,38.86,22.35
1,1.71,38.86,11.77
0,0.0,38.86,0.0
0,0.0,38.86,0.0
0,0.0,38.86,0.0
7,29.43,38.86,73.74
1,5.0,38.86,11.77
0,0.0,38.86,0.0
2,35.71,38.86,25.55
0,0.0,38.86,0.0
5,24.43,38.86,29.44
0,0.0,38.86,0.0
0,0.0,38.86,0.0
0,0.0,38.86,0.0
0,0.0,38.86,0.0
0,0.0,38.86,0.0
10,34.14,38.86,24.24
1,4.86,38.86,9.99
3,28.29,38.71,25.08
0,0.0,38.71,0.0
2,14.57,38.71,32.3
0,0.0,38.71,0.0
0,0.0,38.71,0.0
0,0.0,38.71,0.0
0,0.0,38.71,0.0
1,1.57,38.71,227.14
0,0.0,38.71,0.0
1,29.43,38.71,80.46
0,0.0,38.71,0.0
1,5.86,38.71,40.47
0,0.0,38.71,0.0
0,0.0,38.71,0.0
0,0.0,38.71,0.0
0,0.0,38.71,0.0
1,27.14,38.71,31.14
0,0.0,38.71,0.0
0,0.0,38.71,0.0
1,2.14,38.71,13.97
0,0.0,38.71,0.0
0,0.0,38.71,0.0
0,0.0,38.57,0.0
0,0.0,38.57,0.0
0,0.0,38.57,0.0
0,0.0,38.57,0.0
1,24.43,38.57,14.96
12,34.43,38.57,29.54
0,0.0,38.57,0.0
0,0.0,38.57,0.0
1,1.57,38.57,14.37
0,0.0,38.57,0.0
0,0.0,38.57,0.0
0,0.0,38.57,0.0
0,0.0,38.57,0.0
0,0.0,38.57,0.0
0,0.0,38.57,0.0
2,33.14,38.57,28.03
1,4.29,38.57,15.36
0,0.0,38.43,0.0
1,38.43,38.43,6.49
0,0.0,38.43,0.0
4,29.43,38.43,53.4
0,0.0,38.43,0.0
1,16.14,38.43,43.13
0,0.0,38.43,0.0
0,0.0,38.43,0.0
0,0.0,38.43,0.0
2,21.14,38.43,133.48
0,0.0,38.43,0.0
0,0.0,38.43,0.0
3,29.29,38.43,42.63
0,0.0,38.43,0.0
0,0.0,38.43,0.0
1,5.86,38.43,69.23
0,0.0,38.43,0.0
1,5.14,38.43,20.77
0,0.0,38.43,0.0
0,0.0,38.43,0.0
0,0.0,38.29,0.0
3,16.86,38.29,20.22
0,0.0,38.29,0.0
0,0.0,38.29,0.0
1,7.43,38.29,42.09
0,0.0,38.29,0.0
0,0.0,38.29,0.0
0,0.0,38.29,0.0
7,26.43,38.29,27.63
0,0.0,38.29,0.0
10,35.43,38.29,13.66
0,0.0,38.29,0.0
0,0.0,38.29,0.0
1,33.29,38.29,14.99
6,37.43,38.29,50.87
0,0.0,38.29,0.0
0,0.0,38.29,0.0
0,0.0,38.29,0.0
0,0.0,38.29,0.0
0,0.0,38.29,0.0
2,31.86,38.29,33.42
4,37.57,38.29,20.68
1,23.86,38.29,26.22
5,36.14,38.14,17.47
0,0.0,38.14,0.0
0,0.0,38.14,0.0
0,0.0,38.14,0.0
1,24.14,38.14,92.8
1,6.14,38.14,52.3
0,0.0,38.14,0.0
0,0.0,38.14,0.0
1,0.29,38.14,39.09
0,0.0,38.14,0.0
1,0.29,38.14,12.97
0,0.0,38.14,0.0
0,0.0,38.14,0.0
1,24.14,38.14,24.99
0,0.0,38.14,0.0
1,5.29,38.14,28.31
0,0.0,38.14,0.0
0,0.0,38.14,0.0
0,0.0,38.14,0.0
0,0.0,38.14,0.0
1,3.0,38.14,13.77
0,0.0,38.14,0.0
0,0.0,38.14,0.0
0,0.0,38.14,0.0
1,7.14,38.14,36.71
0,0.0,38.0,0.0
0,0.0,38.0,0.0
0,0.0,38.0,0.0
4,7.57,38.0,13.62
3,26.0,38.0,19.36
0,0.0,38.0,0.0
1,24.0,38.0,71.66
2,28.43,38.0,13.87
0,0.0,38.0,0.0
1,23.43,38.0,19.54
2,7.43,38.0,23.48
0,0.0,38.0,0.0
2,16.86,38.0,51.8
1,2.14,38.0,29.33
1,15.71,38.0,23.54
0,0.0,38.0,0.0
5,6.86,38.0,35.58
2,28.57,38.0,15.16
7,34.14,38.0,22.92
2,35.71,38.0,18.98
0,0.0,38.0,0.0
4,29.29,38.0,29.86
13,37.86,38.0,29.34
0,0.0,38.0,0.0
4,33.0,38.0,28.53
4,35.29,38.0,24.94
0,0.0,38.0,0.0
0,0.0,38.0,0.0
1,2.86,38.0,16.7
0,0.0,38.0,0.0
1,6.43,38.0,34.32
29,37.71,38.0,26.26
0,0.0,37.86,0.0
3,24.71,37.86,46.59
0,0.0,37.86,0.0
0,0.0,37.86,0.0
1,2.0,37.86,46.28
0,0.0,37.86,0.0
10,37.0,37.86,62.44
0,0.0,37.86,0.0
0,0.0,37.86,0.0
13,28.14,37.86,25.46
0,0.0,37.86,0.0
0,0.0,37.86,0.0
1,37.43,37.86,14.49
0,0.0,37.86,0.0
0,0.0,37.86,0.0
0,0.0,37.86,0.0
0,0.0,37.86,0.0
0,0.0,37.86,0.0
0,0.0,37.71,0.0
0,0.0,37.71,0.0
6,32.86,37.71,35.18
8,36.14,37.71,49.25
0,0.0,37.71,0.0
0,0.0,37.71,0.0
0,0.0,37.71,0.0
1,5.0,37.71,15.76
0,0.0,37.71,0.0
4,36.14,37.71,33.91
0,0.0,37.71,0.0
2,7.86,37.71,11.87
3,21.14,37.71,37.99
3,6.0,37.71,28.46
0,0.0,37.71,0.0
0,0.0,37.71,0.0
0,0.0,37.71,0.0
0,0.0,37.71,0.0
0,0.0,37.71,0.0
6,27.0,37.71,28.77
0,0.0,37.71,0.0
1,1.57,37.71,27.13
0,0.0,37.71,0.0
0,0.0,37.71,0.0
2,14.29,37.57,41.48
0,0.0,37.57,0.0
2,7.0,37.57,18.88
2,31.0,37.57,21.87
0,0.0,37.57,0.0
0,0.0,37.57,0.0
1,18.0,37.57,14.96
0,0.0,37.57,0.0
1,0.29,37.57,34.27
0,0.0,37.57,0.0
0,0.0,37.57,0.0
7,17.86,37.57,71.81
0,0.0,37.57,0.0
0,0.0,37.57,0.0
0,0.0,37.57,0.0
2,29.0,37.57,14.47
0,0.0,37.57,0.0
4,24.29,37.57,37.26
0,0.0,37.43,0.0
1,14.86,37.43,14.99
1,27.43,37.43,21.74
0,0.0,37.43,0.0
0,0.0,37.43,0.0
0,0.0,37.43,0.0
0,0.0,37.43,0.0
0,0.0,37.43,0.0
2,11.43,37.43,20.35
0,0.0,37.43,0.0
1,2.0,37.43,13.97
1,1.86,37.43,9.77
2,33.0,37.43,28.65
0,0.0,37.43,0.0
3,36.57,37.43,22.29
0,0.0,37.43,0.0
0,0.0,37.43,0.0
0,0.0,37.43,0.0
0,0.0,37.43,0.0
0,0.0,37.43,0.0
0,0.0,37.43,0.0
0,0.0,37.43,0.0
0,0.0,37.43,0.0
0,0.0,37.43,0.0
4,31.43,37.43,24.09
1,8.29,37.29,55.28
5,5.14,37.29,194.86
0,0.0,37.29,0.0
0,0.0,37.29,0.0
2,24.0,37.29,36.11
0,0.0,37.29,0.0
1,1.86,37.29,30.32
2,20.43,37.29,26.94
0,0.0,37.29,0.0
0,0.0,37.29,0.0
1,32.0,37.29,16.36
0,0.0,37.29,0.0
1,0.43,37.29,11.77
0,0.0,37.29,0.0
5,16.14,37.29,32.12
0,0.0,37.29,0.0
0,0.0,37.29,0.0
1,5.86,37.29,38.77
2,28.57,37.29,52.94
0,0.0,37.29,0.0
1,36.86,37.29,64.45
0,0.0,37.29,0.0
0,0.0,37.29,0.0
1,0.14,37.29,11.77
2,35.57,37.29,21.36
1,5.71,37.29,90.83
0,0.0,37.14,0.0
1,2.0,37.14,79.72
0,0.0,37.14,0.0
1,3.86,37.14,41.82
0,0.0,37.14,0.0
3,24.29,37.14,20.5
1,34.0,37.14,25.74
13,30.71,37.14,17.56
0,0.0,37.14,0.0
0,0.0,37.14,0.0
0,0.0,37.14,0.0
0,0.0,37.14,0.0
0,0.0,37.14,0.0
3,19.43,37.14,87.43
3,32.86,37.14,19.62
1,3.0,37.14,36.67
0,0.0,37.14,0.0
0,0.0,37.14,0.0
3,31.57,37.14,33.97
0,0.0,37.14,0.0
5,36.43,37.14,36.98
0,0.0,37.14,0.0
2,35.43,37.14,65.07
1,0.43,37.14,20.75
0,0.0,37.14,0.0
1,0.71,37.14,18.99
0,0.0,37.14,0.0
0,0.0,37.14,0.0
1,15.29,37.0,76.41
1,1.14,37.0,12.97
0,0.0,37.0,0.0
0,0.0,37.0,0.0
0,0.0,37.0,0.0
3,34.43,37.0,20.08
1,36.29,37.0,31.48
1,17.86,37.0,69.84
0,0.0,37.0,0.0
1,3.43,37.0,14.37
0,0.0,37.0,0.0
0,0.0,37.0,0.0
0,0.0,37.0,0.0
4,4.29,37.0,48.81
0,0.0,37.0,0.0
2,34.57,37.0,25.61
0,0.0,37.0,0.0
3,27.71,37.0,93.4
0,0.0,37.0,0.0
0,0.0,37.0,0.0
1,19.86,37.0,29.75
0,0.0,37.0,0.0
1,16.57,37.0,48.94
0,0.0,37.0,0.0
2,32.0,37.0,60.75
0,0.0,36.86,0.0
1,8.86,36.86,41.77
3,2.71,36.86,15.89
25,27.29,36.86,37.21
0,0.0,36.86,0.0
0,0.0,36.86,0.0
0,0.0,36.86,0.0
0,0.0,36.86,0.0
5,22.57,36.86,59.42
0,0.0,36.86,0.0
2,14.14,36.86,10.88
0,0.0,36.86,0.0
0,0.0,36.86,0.0
0,0.0,36.86,0.0
5,36.0,36.86,45.07
0,0.0,36.86,0.0
0,0.0,36.86,0.0
1,22.43,36.86,9.77
0,0.0,36.86,0.0
0,0.0,36.86,0.0
0,0.0,36.86,0.0
0,0.0,36.86,0.0
2,22.57,36.71,15.7
0,0.0,36.71,0.0
0,0.0,36.71,0.0
0,0.0,36.71,0.0
1,22.57,36.71,4.79
0,0.0,36.71,0.0
2,22.57,36.71,79.02
1,9.57,36.71,12.77
0,0.0,36.71,0.0
0,0.0,36.71,0.0
0,0.0,36.71,0.0
0,0.0,36.71,0.0
0,0.0,36.71,0.0
1,2.57,36.71,242.98
2,23.71,36.71,36.22
0,0.0,36.71,0.0
0,0.0,36.71,0.0
0,0.0,36.71,0.0
0,0.0,36.71,0.0
2,10.57,36.71,9.77
4,28.71,36.71,41.81
0,0.0,36.71,0.0
0,0.0,36.57,0.0
1,11.71,36.57,176.45
3,17.43,36.57,26.42
0,0.0,36.57,0.0
1,14.14,36.57,24.74
0,0.0,36.57,0.0
0,0.0,36.57,0.0
0,0.0,36.57,0.0
0,0.0,36.57,0.0
0,0.0,36.57,0.0
1,5.71,36.57,13.77
1,10.43,36.57,13.97
1,22.0,36.57,16.7
0,0.0,36.57,0.0
0,0.0,36.57,0.0
0,0.0,36.57,0.0
11,36.43,36.57,37.11
0,0.0,36.57,0.0
0,0.0,36.57,0.0
4,31.14,36.57,22.86
0,0.0,36.57,0.0
0,0.0,36.57,0.0
1,15.29,36.43,100.59
2,10.14,36.43,22.08
0,0.0,36.43,0.0
0,0.0,36.43,0.0
0,0.0,36.43,0.0
0,0.0,36.43,0.0
1,25.86,36.43,189.64
1,4.43,36.43,23.54
0,0.0,36.43,0.0
3,21.29,36.43,14.37
1,8.0,36.43,29.99
0,0.0,36.43,0.0
0,0.0,36.43,0.0
2,21.86,36.43,18.14
0,0.0,36.43,0.0
8,31.14,36.43,44.8
1,6.14,36.43,15.38
0,0.0,36.43,0.0
2,15.86,36.43,34.22
1,31.86,36.43,14.96
0,0.0,36.43,0.0
0,0.0,36.43,0.0
1,21.71,36.43,28.34
0,0.0,36.43,0.0
2,3.43,36.43,15.36
0,0.0,36.43,0.0
0,0.0,36.43,0.0
3,20.86,36.29,17.89
0,0.0,36.29,0.0
0,0.0,36.29,0.0
0,0.0,36.29,0.0
0,0.0,36.29,0.0
0,0.0,36.29,0.0
0,0.0,36.29,0.0
2,12.43,36.29,52.47
2,19.71,36.29,13.37
0,0.0,36.29,0.0
0,0.0,36.29,0.0
0,0.0,36.29,0.0
1,4.43,36.29,29.33
2,30.0,36.29,25.05
0,0.0,36.29,0.0
0,0.0,36.29,0.0
0,0.0,36.29,0.0
0,0.0,36.29,0.0
0,0.0,36.29,0.0
1,8.43,36.29,25.74
0,0.0,36.29,0.0
0,0.0,36.29,0.0
0,0.0,36.29,0.0
0,0.0,36.29,0.0
1,18.14,36.29,34.14
2,26.14,36.29,97.58
4,26.71,36.29,13.93
0,0.0,36.29,0.0
0,0.0,36.29,0.0
2,3.14,36.14,29.98
0,0.0,36.14,0.0
6,27.14,36.14,23.18
0,0.0,36.14,0.0
1,2.14,36.14,44.97
0,0.0,36.14,0.0
1,7.86,36.14,27.33
1,8.86,36.14,83.39
1,17.0,36.14,11.77
2,11.0,36.14,31.26
1,27.14,36.14,14.37
0,0.0,36.14,0.0
7,28.29,36.14,66.89
4,15.14,36.14,19.02
0,0.0,36.14,0.0
0,0.0,36.14,0.0
0,0.0,36.14,0.0
7,25.43,36.14,21.39
0,0.0,36.14,0.0
1,8.57,36.14,58.07
1,17.0,36.14,38.71
0,0.0,36.14,0.0
2,23.0,36.14,32.54
1,31.57,36.14,51.5
0,0.0,36.14,0.0
4,30.43,36.14,21.65
0,0.0,36.14,0.0
1,2.43,36.14,14.79
0,0.0,36.14,0.0
0,0.0,36.14,0.0
2,33.71,36.14,20.13
0,0.0,36.14,0.0
0,0.0,36.14,0.0
4,36.0,36.14,29.69
0,0.0,36.14,0.0
0,0.0,36.0,0.0
2,21.29,36.0,56.95
1,21.57,36.0,89.48
0,0.0,36.0,0.0
1,8.57,36.0,11.97
0,0.0,36.0,0.0
11,33.14,36.0,50.03
0,0.0,36.0,0.0
4,9.0,36.0,31.04
0,0.0,36.0,0.0
0,0.0,36.0,0.0
0,0.0,36.0,0.0
4,17.43,36.0,32.82
0,0.0,36.0,0.0
3,30.43,36.0,31.99
0,0.0,36.0,0.0
1,36.0,36.0,11.49
1,2.14,36.0,15.36
0,0.0,36.0,0.0
0,0.0,36.0,0.0
6,26.57,36.0,43.93
3,5.57,36.0,36.19
0,0.0,36.0,0.0
0,0.0,36.0,0.0
0,0.0,36.0,0.0
0,0.0,35.86,0.0
2,14.29,35.86,39.6
0,0.0,35.86,0.0
2,31.0,35.86,27.85
0,0.0,35.86,0.0
18,35.14,35.86,78.63
0,0.0,35.86,0.0
1,5.29,35.86,14.96
0,0.0,35.86,0.0
1,7.86,35.86,37.65
0,0.0,35.86,0.0
0,0.0,35.86,0.0
0,0.0,35.86,0.0
5,29.57,35.86,27.39
0,0.0,35.86,0.0
1,35.86,35.86,41.47
0,0.0,35.86,0.0
6,34.86,35.86,18.67
0,0.0,35.86,0.0
2,11.14,35.86,17.62
0,0.0,35.86,0.0
0,0.0,35.86,0.0
2,22.71,35.86,96.09
0,0.0,35.86,0.0
1,29.86,35.86,27.77
1,20.86,35.71,38.92
0,0.0,35.71,0.0
0,0.0,35.71,0.0
1,12.86,35.71,12.49
0,0.0,35.71,0.0
1,4.57,35.71,44.88
2,29.43,35.71,77.42
0,0.0,35.71,0.0
0,0.0,35.71,0.0
0,0.0,35.71,0.0
1,0.14,35.71,6.79
0,0.0,35.71,0.0
2,31.71,35.71,33.72
0,0.0,35.71,0.0
2,22.43,35.71,135.96
0,0.0,35.71,0.0
0,0.0,35.71,0.0
0,0.0,35.71,0.0
0,0.0,35.71,0.0
1,22.0,35.71,71.45
10,33.57,35.71,38.76
0,0.0,35.71,0.0
1,6.71,35.71,30.97
3,3.43,35.71,41.46
3,23.71,35.71,58.67
0,0.0,35.71,0.0
2,32.43,35.71,31.97
0,0.0,35.71,0.0
0,0.0,35.71,0.0
12,23.86,35.57,26.74
0,0.0,35.57,0.0
1,7.57,35.57,30.32
2,29.0,35.57,46.35
2,34.43,35.57,24.99
0,0.0,35.57,0.0
0,0.0,35.57,0.0
0,0.0,35.57,0.0
0,0.0,35.57,0.0
5,33.43,35.57,20.81
0,0.0,35.57,0.0
0,0.0,35.57,0.0
2,24.86,35.57,14.31
0,0.0,35.57,0.0
5,8.71,35.57,50.67
0,0.0,35.57,0.0
1,26.71,35.57,27.31
1,5.43,35.57,13.97
0,0.0,35.57,0.0
1,7.29,35.57,59.25
0,0.0,35.57,0.0
0,0.0,35.57,0.0
0,0.0,35.57,0.0
0,0.0,35.57,0.0
0,0.0,35.57,0.0
0,0.0,35.57,0.0
1,35.43,35.43,45.98
2,21.57,35.43,44.0
0,0.0,35.43,0.0
0,0.0,35.43,0.0
0,0.0,35.43,0.0
0,0.0,35.43,0.0
0,0.0,35.43,0.0
0,0.0,35.43,0.0
1,29.0,35.43,15.36
7,17.14,35.43,42.49
0,0.0,35.43,0.0
0,0.0,35.43,0.0
2,32.71,35.43,41.12
0,0.0,35.43,0.0
0,0.0,35.43,0.0
2,25.86,35.43,8.38
0,0.0,35.43,0.0
4,21.43,35.43,31.97
0,0.0,35.43,0.0
0,0.0,35.43,0.0
3,30.0,35.43,14.7
0,0.0,35.43,0.0
1,31.29,35.43,14.37
0,0.0,35.43,0.0
2,13.57,35.43,21.37
2,22.0,35.43,37.08
0,0.0,35.43,0.0
1,10.29,35.29,163.61
1,20.86,35.29,11.77
2,33.57,35.29,11.63
0,0.0,35.29,0.0
0,0.0,35.29,0.0
0,0.0,35.29,0.0
0,0.0,35.29,0.0
2,3.86,35.29,21.75
0,0.0,35.29,0.0
0,0.0,35.29,0.0
1,7.86,35.29,19.99
0,0.0,35.29,0.0
1,23.86,35.29,13.97
0,0.0,35.29,0.0
3,11.14,35.29,32.02
0,0.0,35.29,0.0
0,0.0,35.29,0.0
0,0.0,35.29,0.0
0,0.0,35.29,0.0
1,34.29,35.29,18.98
0,0.0,35.29,0.0
0,0.0,35.29,0.0
1,2.71,35.29,75.2
0,0.0,35.29,0.0
0,0.0,35.29,0.0
0,0.0,35.29,0.0
0,0.0,35.14,0.0
0,0.0,35.14,0.0
0,0.0,35.14,0.0
0,0.0,35.14,0.0
3,26.71,35.14,40.04
0,0.0,35.14,0.0
4,28.43,35.14,15.26
0,0.0,35.14,0.0
0,0.0,35.14,0.0
0,0.0,35.14,0.0
0,0.0,35.14,0.0
2,11.57,35.14,11.98
1,8.57,35.14,15.36
1,6.43,35.14,29.33
0,0.0,35.14,0.0
0,0.0,35.14,0.0
0,0.0,35.14,0.0
0,0.0,35.14,0.0
5,31.14,35.14,29.39
1,5.86,35.14,11.77
0,0.0,35.14,0.0
0,0.0,35.14,0.0
1,7.14,35.14,26.73
2,8.29,35.14,24.08
1,33.71,35.14,12.99
0,0.0,35.14,0.0
0,0.0,35.14,0.0
0,0.0,35.14,0.0
0,0.0,35.14,0.0
1,20.86,35.0,52.47
0,0.0,35.0,0.0
8,33.57,35.0,29.48
1,4.43,35.0,54.71
0,0.0,35.0,0.0
6,29.29,35.0,36.53
1,8.14,35.0,34.11
2,3.86,35.0,20.15
0,0.0,35.0,0.0
3,25.29,35.0,70.45
6,23.0,35.0,79.33
0,0.0,35.0,0.0
1,20.43,35.0,14.96
0,0.0,35.0,0.0
2,16.29,35.0,28.64
5,25.14,35.0,17.25
0,0.0,35.0,0.0
1,28.0,35.0,10.77
0,0.0,35.0,0.0
0,0.0,35.0,0.0
0,0.0,35.0,0.0
0,0.0,35.0,0.0
0,0.0,35.0,0.0
0,0.0,35.0,0.0
1,18.86,35.0,29.92
1,6.0,35.0,21.54
0,0.0,35.0,0.0
13,34.43,35.0,42.44
0,0.0,35.0,0.0
0,0.0,35.0,0.0
1,3.57,35.0,24.99
3,25.86,34.86,20.08
0,0.0,34.86,0.0
5,14.43,34.86,17.22
0,0.0,34.86,0.0
2,17.43,34.86,20.55
1,22.86,34.86,128.89
0,0.0,34.86,0.0
0,0.0,34.86,0.0
1,11.14,34.86,11.78
0,0.0,34.86,0.0
1,4.0,34.86,37.75
1,0.57,34.86,29.58
0,0.0,34.86,0.0
0,0.0,34.86,0.0
0,0.0,34.86,0.0
4,30.57,34.86,22.54
6,33.57,34.86,16.31
1,1.71,34.86,14.37
2,9.71,34.86,50.27
0,0.0,34.86,0.0
0,0.0,34.86,0.0
2,12.0,34.86,14.47
0,0.0,34.86,0.0
7,34.86,34.86,14.6
0,0.0,34.86,0.0
0,0.0,34.86,0.0
0,0.0,34.86,0.0
0,0.0,34.86,0.0
0,0.0,34.86,0.0
3,20.29,34.86,48.17
0,0.0,34.86,0.0
5,17.0,34.86,62.48
0,0.0,34.86,0.0
2,10.57,34.71,11.77
1,4.57,34.71,18.76
3,33.71,34.71,37.47
0,0.0,34.71,0.0
0,0.0,34.71,0.0
0,0.0,34.71,0.0
0,0.0,34.71,0.0
0,0.0,34.71,0.0
0,0.0,34.71,0.0
1,13.29,34.71,12.49
0,0.0,34.71,0.0
1,24.86,34.71,14.96
0,0.0,34.71,0.0
0,0.0,34.71,0.0
0,0.0,34.71,0.0
2,14.43,34.71,16.83
0,0.0,34.71,0.0
1,12.57,34.71,70.13
0,0.0,34.71,0.0
0,0.0,34.71,0.0
1,7.14,34.71,6.79
10,29.29,34.71,62.26
0,0.0,34.71,0.0
0,0.0,34.71,0.0
0,0.0,34.71,0.0
0,0.0,34.71,0.0
3,16.43,34.71,13.3
3,17.14,34.71,20.68
0,0.0,34.71,0.0
0,0.0,34.71,0.0
2,9.14,34.57,66.94
5,34.57,34.57,89.61
4,23.14,34.57,18.04
0,0.0,34.57,0.0
0,0.0,34.57,0.0
0,0.0,34.57,0.0
0,0.0,34.57,0.0
0,0.0,34.57,0.0
0,0.0,34.57,0.0
0,0.0,34.57,0.0
1,3.71,34.57,27.94
0,0.0,34.57,0.0
0,0.0,34.57,0.0
0,0.0,34.57,0.0
0,0.0,34.57,0.0
1,16.0,34.57,15.36
1,0.29,34.57,24.98
3,9.29,34.57,12.19
1,8.71,34.57,28.34
0,0.0,34.57,0.0
0,0.0,34.57,0.0
