month,channel,impressions
2023-01,HMI Audio,174900607.5911
2023-01,HMI Digital Video,10452092.0
2023-01,HMI Display,1754.0
2023-01,HMI Linear,9006157.0
2023-01,HMI OOH,7676036.751999999
2023-01,Influencer,0.0
2023-01,MACS App,729986495.0
2023-01,MACS Programmatic,85476525.0
2023-01,MACS Social,217413474.0
2023-01,OO Display,19278599.0
2023-01,OO Linear,220872249.21940002
2023-01,OO Video,51990979.0
2023-01,Paid Search,13732345.0
2023-01,Partnerships,909793941.82275
2023-01,Podcast One Audio,52634661.07986
2023-02,HMI Audio,93816629.771
2023-02,HMI Digital Video,18191994.0
2023-02,HMI Display,741270.0
2023-02,HMI Linear,6543153.0
2023-02,HMI OOH,28584109.60215
2023-02,Influencer,0.0
2023-02,MACS App,669050043.0
2023-02,MACS Programmatic,108391267.0
2023-02,MACS Social,172522819.0
2023-02,OO Display,15020791.0
2023-02,OO Linear,128873321.0
2023-02,OO Video,50813878.0
2023-02,Paid Search,21067852.0
2023-02,Partnerships,928097536.227
2023-02,Podcast One Audio,63821729.988
2023-03,HMI Audio,108207480.966
2023-03,HMI Digital Video,7902500.0
2023-03,HMI Display,36933436.0
2023-03,HMI Linear,24621590.0
2023-03,HMI OOH,206491786.92990002
2023-03,Influencer,0.0
2023-03,MACS App,937741534.0
2023-03,MACS Programmatic,318298218.0
2023-03,MACS Social,248928140.0
2023-03,OO Display,8248156.0
2023-03,OO Linear,180164036.0
2023-03,OO Video,48029152.0
2023-03,Paid Search,23405871.0
2023-03,Partnerships,982442975.82275
2023-03,Podcast One Audio,67299024.218
2023-04,HMI Audio,89177900.0
2023-04,HMI Digital Video,3668886.0
2023-04,HMI Display,12325601.0
2023-04,HMI Linear,11770537.0
2023-04,HMI OOH,0.0
2023-04,Influencer,0.0
2023-04,MACS App,372800887.0
2023-04,MACS Programmatic,202430798.0
2023-04,MACS Social,173347160.0
2023-04,OO Display,10591279.0
2023-04,OO Linear,172261826.0
2023-04,OO Video,53728912.0
2023-04,Paid Search,14371419.0
2023-04,Partnerships,864305719.9575
2023-04,Podcast One Audio,52865373.66
2023-05,HMI Audio,4209407.142
2023-05,HMI Digital Video,14.0
2023-05,HMI Display,4695673.0
2023-05,HMI Linear,0.0
2023-05,HMI OOH,0.0
2023-05,Influencer,0.0
2023-05,MACS App,385792092.0
2023-05,MACS Programmatic,131927610.0
2023-05,MACS Social,61868801.0
2023-05,OO Display,6699686.0
2023-05,OO Linear,89444652.0
2023-05,OO Video,51309353.0
2023-05,Paid Search,27481116.0
2023-05,Partnerships,853727961.81558
2023-05,Podcast One Audio,65692889.57
2023-06,HMI Audio,42094071.419999994
2023-06,HMI Digital Video,280184.0
2023-06,HMI Display,2353043.0
2023-06,HMI Linear,0.0
2023-06,HMI OOH,0.0
2023-06,Influencer,379700.0
2023-06,MACS App,346166255.0
2023-06,MACS Programmatic,190777084.0
2023-06,MACS Social,152907047.0
2023-06,OO Display,5002516.0
2023-06,OO Linear,170997422.277
2023-06,OO Video,45880055.0
2023-06,Paid Search,41223791.0
2023-06,Partnerships,877438199.0
2023-06,Podcast One Audio,43278541.998
2023-07,HMI Audio,43497207.133999996
2023-07,HMI Digital Video,1265198.0
2023-07,HMI Display,23401544.0
2023-07,HMI Linear,0.0
2023-07,HMI OOH,0.0
2023-07,Influencer,4824088.0
2023-07,MACS App,254861551.0
2023-07,MACS Programmatic,395762379.0
2023-07,MACS Social,159548219.0
2023-07,OO Display,6522284.0
2023-07,OO Linear,171379162.0
2023-07,OO Video,62825311.0
2023-07,Paid Search,193560487.0
2023-07,Partnerships,692451770.0
2023-07,Podcast One Audio,40154653.997
2023-08,HMI Audio,8418814.284
2023-08,HMI Digital Video,9808971.0
2023-08,HMI Display,21060211.0
2023-08,HMI Linear,0.0
2023-08,HMI OOH,0.0
2023-08,Influencer,0.0
2023-08,MACS App,320844648.0
2023-08,MACS Programmatic,284241297.0
2023-08,MACS Social,107739717.0
2023-08,OO Display,1569235.0
2023-08,OO Linear,151703721.0
2023-08,OO Video,48682664.0
2023-08,Paid Search,169806428.0
2023-08,Partnerships,806225622.0
2023-08,Podcast One Audio,38010780.9981
2023-09,HMI Audio,126002828.41399999
2023-09,HMI Digital Video,1358935.0
2023-09,HMI Display,8345420.0
2023-09,HMI Linear,13454309.85716
2023-09,HMI OOH,2417909.7144
2023-09,Influencer,0.0
2023-09,MACS App,257666270.0
2023-09,MACS Programmatic,100509601.0
2023-09,MACS Social,104350450.0
2023-09,OO Display,1133712.0
2023-09,OO Linear,115574940.0
2023-09,OO Video,22448742.0
2023-09,Paid Search,58649741.0
2023-09,Partnerships,735406155.0
2023-09,Podcast One Audio,50116463.994
2023-10,HMI Audio,438117450.79999995
2023-10,HMI Digital Video,0.0
2023-10,HMI Display,0.0
2023-10,HMI Linear,32600772.14294
2023-10,HMI OOH,38803448.190400004
2023-10,Influencer,0.0
2023-10,MACS App,277986398.0
2023-10,MACS Programmatic,262621277.0
2023-10,MACS Social,212512445.0
2023-10,OO Display,11022823.0
2023-10,OO Linear,165700984.0
2023-10,OO Video,53090164.0
2023-10,Paid Search,33125564.0
2023-10,Partnerships,810544637.0
2023-10,Podcast One Audio,34817584.004
2023-11,HMI Audio,391164841.0684
2023-11,HMI Digital Video,10238070.0
2023-11,HMI Display,55961884.0
2023-11,HMI Linear,33229673.8567
2023-11,HMI OOH,29565820.1039
2023-11,Influencer,0.0
2023-11,MACS App,341282379.0
2023-11,MACS Programmatic,168067811.0
2023-11,MACS Social,216344775.0
2023-11,OO Display,5759916.0
2023-11,OO Linear,237241843.0
2023-11,OO Video,45201371.0
2023-11,Paid Search,28863785.0
2023-11,Partnerships,827918547.0
2023-11,Podcast One Audio,84914736.0
2023-12,HMI Audio,299827571.43299997
2023-12,HMI Digital Video,13907735.0
2023-12,HMI Display,84711082.0
2023-12,HMI Linear,106767335.1425
2023-12,HMI OOH,162456500.49704
2023-12,Influencer,0.0
2023-12,MACS App,363453294.0
2023-12,MACS Programmatic,225907028.0
2023-12,MACS Social,334148277.0
2023-12,OO Display,6042589.0
2023-12,OO Linear,336318048.606
2023-12,OO Video,52643980.0
2023-12,Paid Search,42098251.0
2023-12,Partnerships,953948660.0
2023-12,Podcast One Audio,127623459.0119
2024-01,HMI Audio,0.0
2024-01,HMI Digital Video,65.0
2024-01,HMI Display,15686.0
2024-01,HMI Linear,0.0
2024-01,HMI OOH,0.0
2024-01,Influencer,0.0
2024-01,MACS App,546542276.0
2024-01,MACS Programmatic,187611466.0
2024-01,MACS Social,123176579.0
2024-01,OO Display,0.0
2024-01,OO Linear,105737080.0
2024-01,OO Video,2935469.0
2024-01,Paid Search,85315644.0
2024-01,Partnerships,634520142.0
2024-01,Podcast One Audio,97843271.988
2024-02,HMI Audio,101677085.7149
2024-02,HMI Digital Video,4494151.0
2024-02,HMI Display,45843651.0
2024-02,HMI Linear,28903580.0
2024-02,HMI OOH,178692734.70892
2024-02,Influencer,0.0
2024-02,MACS App,443956237.0
2024-02,MACS Programmatic,582951569.0
2024-02,MACS Social,240967476.0
2024-02,OO Display,0.0
2024-02,OO Linear,402201384.2
2024-02,OO Video,9521407.0
2024-02,Paid Search,73777472.0
2024-02,Partnerships,738968931.0
2024-02,Podcast One Audio,87376144.991
2024-03,HMI Audio,282901014.2849
2024-03,HMI Digital Video,7759260.0
2024-03,HMI Display,23839982.0
2024-03,HMI Linear,20420860.0
2024-03,HMI OOH,246646352.24289998
2024-03,Influencer,0.0
2024-03,MACS App,281889564.0
2024-03,MACS Programmatic,564080176.0
2024-03,MACS Social,178406862.0
2024-03,OO Display,599138.0
2024-03,OO Linear,280796925.56
2024-03,OO Video,37761836.0
2024-03,Paid Search,47125448.0
2024-03,Partnerships,703974895.0
2024-03,Podcast One Audio,84247692.991
2024-04,HMI Audio,198333699.9998
2024-04,HMI Digital Video,6950820.0
2024-04,HMI Display,42127361.0
2024-04,HMI Linear,17106400.0
2024-04,HMI OOH,91884797.4241
2024-04,Influencer,904400.0
2024-04,MACS App,117589725.0
2024-04,MACS Programmatic,609023919.0
2024-04,MACS Social,129142802.0
2024-04,OO Display,2189479.0
2024-04,OO Linear,285868247.0
2024-04,OO Video,62164855.0
2024-04,Paid Search,19840268.0
2024-04,Partnerships,520408637.0
2024-04,Podcast One Audio,81673257.997
2024-05,HMI Audio,12080500.0
2024-05,HMI Digital Video,0.0
2024-05,HMI Display,7249735.0
2024-05,HMI Linear,0.0
2024-05,HMI OOH,56403220.13803
2024-05,Influencer,0.0
2024-05,MACS App,147499349.0
2024-05,MACS Programmatic,388717515.0
2024-05,MACS Social,102086472.0
2024-05,OO Display,4017556.0
2024-05,OO Linear,205269835.0
2024-05,OO Video,62741949.0
2024-05,Paid Search,10663406.0
2024-05,Partnerships,529393563.0
2024-05,Podcast One Audio,81294317.998
2024-06,HMI Audio,42679700.0064
2024-06,HMI Digital Video,5.0
2024-06,HMI Display,28737713.0
2024-06,HMI Linear,9053300.0
2024-06,HMI OOH,53496180.42387
2024-06,Influencer,593106.0
2024-06,MACS App,165292777.0
2024-06,MACS Programmatic,164211007.0
2024-06,MACS Social,104441688.0
2024-06,OO Display,565492.0
2024-06,OO Linear,204964714.0
2024-06,OO Video,48025554.0
2024-06,Paid Search,11906497.0
2024-06,Partnerships,694281026.0
2024-06,Podcast One Audio,65708991.992000006
2024-07,HMI Audio,41024885.7192
2024-07,HMI Digital Video,0.0
2024-07,HMI Display,63392112.0
2024-07,HMI Linear,8505480.0
2024-07,HMI OOH,89167844.14119
2024-07,Influencer,262615.0
2024-07,MACS App,236761460.0
2024-07,MACS Programmatic,139197017.0
2024-07,MACS Social,89203508.0
2024-07,OO Display,683352.0
2024-07,OO Linear,284870831.0
2024-07,OO Video,71140537.0
2024-07,Paid Search,8655780.0
2024-07,Partnerships,480938166.0
2024-07,Podcast One Audio,60602151.0049
2024-08,HMI Audio,40584314.2939
2024-08,HMI Digital Video,0.0
2024-08,HMI Display,27031076.0
2024-08,HMI Linear,6993520.0
2024-08,HMI OOH,56403220.13803
2024-08,Influencer,756051.0
2024-08,MACS App,246181173.0
2024-08,MACS Programmatic,109028438.0
2024-08,MACS Social,67518697.0
2024-08,OO Display,816604.0
2024-08,OO Linear,177615272.0
2024-08,OO Video,53751660.0
2024-08,Paid Search,9696533.0
2024-08,Partnerships,730102747.0
2024-08,Podcast One Audio,65544461.0
2024-09,HMI Audio,54044368.2576
2024-09,HMI Digital Video,0.0
2024-09,HMI Display,17642607.0
2024-09,HMI Linear,13106126.236159999
2024-09,HMI OOH,58280359.06627
2024-09,Influencer,0.0
2024-09,MACS App,293357205.0
2024-09,MACS Programmatic,80621207.0
2024-09,MACS Social,82179501.0
2024-09,OO Display,10305031.0
2024-09,OO Linear,80646676.12801
2024-09,OO Video,36276806.0
2024-09,Paid Search,29901620.0
2024-09,Partnerships,800908420.0
2024-09,Podcast One Audio,64188721.997
2024-10,HMI Audio,92542335.13774
2024-10,HMI Digital Video,0.0
2024-10,HMI Display,65172088.0
2024-10,HMI Linear,13641676.980834
2024-10,HMI OOH,97331163.52167
2024-10,Influencer,0.0
2024-10,MACS App,385099778.0
2024-10,MACS Programmatic,253880521.0
2024-10,MACS Social,170370330.0
2024-10,OO Display,19292037.0
2024-10,OO Linear,9273360.0
2024-10,OO Video,48140759.0
2024-10,Paid Search,61849187.0
2024-10,Partnerships,688868148.6681
2024-10,Podcast One Audio,71505785.999
2024-11,HMI Audio,129786811.07283
2024-11,HMI Digital Video,0.0
2024-11,HMI Display,17354376.0
2024-11,HMI Linear,5506187.61716
2024-11,HMI OOH,163825298.142
2024-11,Influencer,0.0
2024-11,MACS App,420649714.0
2024-11,MACS Programmatic,150979003.0
2024-11,MACS Social,80768608.0
2024-11,OO Display,12625648.0
2024-11,OO Linear,18510690.0
2024-11,OO Video,56479364.0
2024-11,Paid Search,56947337.0
2024-11,Partnerships,1304314077.667
2024-11,Podcast One Audio,89504292.0
2024-12,HMI Audio,20432650.3074
2024-12,HMI Digital Video,0.0
2024-12,HMI Display,3816709.0
2024-12,HMI Linear,7369912.58304
2024-12,HMI OOH,59036408.96049
2024-12,Influencer,0.0
2024-12,MACS App,392182353.0
2024-12,MACS Programmatic,204955479.0
2024-12,MACS Social,79724603.0
2024-12,OO Display,22136405.0
2024-12,OO Linear,26802000.0
2024-12,OO Video,95488125.0
2024-12,Paid Search,51473761.0
2024-12,Partnerships,1545481975.666
2024-12,Podcast One Audio,58870577.996
