month,channel,impressions,contribution
2023-01,HMI Audio,174900607.5911,0.002931639
2023-01,HMI Digital Video,10452092.0,0.014308458
2023-01,HMI Display,1754.0,0.023592465
2023-01,HMI Linear,9006157.0,0.004043055
2023-01,HMI OOH,7676036.751999999,0.00684281
2023-01,Influencer,0.0,5.69798e-05
2023-01,MACS App,729986495.0,0.045564535
2023-01,MACS Programmatic,85476525.0,0.005980244
2023-01,MACS Social,217413474.0,0.023894688
2023-01,OO Display,19278599.0,0.007863984
2023-01,OO Linear,220872249.21940002,0.038018479
2023-01,OO Video,51990979.0,0.051092213
2023-01,Paid Search,13732345.0,0.050035354
2023-01,Partnerships,909793941.82275,0.174805105
2023-01,Podcast One Audio,52634661.07986,0.036536341
2023-02,HMI Audio,93816629.771,0.003013895
2023-02,HMI Digital Video,18191994.0,0.012409353
2023-02,HMI Display,741270.0,0.016096592
2023-02,HMI Linear,6543153.0,0.004916435
2023-02,HMI OOH,28584109.60215,0.002220979
2023-02,Influencer,0.0,0.0
2023-02,MACS App,669050043.0,0.044825986
2023-02,MACS Programmatic,108391267.0,0.006461956
2023-02,MACS Social,172522819.0,0.027254092
2023-02,OO Display,15020791.0,0.007441298
2023-02,OO Linear,128873321.0,0.028931627
2023-02,OO Video,50813878.0,0.050234222
2023-02,Paid Search,21067852.0,0.057408468
2023-02,Partnerships,928097536.227,0.185633724
2023-02,Podcast One Audio,63821729.988,0.043272534
2023-03,HMI Audio,108207480.966,0.005737423
2023-03,HMI Digital Video,7902500.0,0.010496103
2023-03,HMI Display,36933436.0,0.023108751
2023-03,HMI Linear,24621590.0,0.01311749
2023-03,HMI OOH,206491786.92990002,0.001971336
2023-03,Influencer,0.0,0.0
2023-03,MACS App,937741534.0,0.047212672
2023-03,MACS Programmatic,318298218.0,0.017328708
2023-03,MACS Social,248928140.0,0.02679639
2023-03,OO Display,8248156.0,0.005283044
2023-03,OO Linear,180164036.0,0.028519456
2023-03,OO Video,48029152.0,0.046851546
2023-03,Paid Search,23405871.0,0.055948863
2023-03,Partnerships,982442975.82275,0.187811883
2023-03,Podcast One Audio,67299024.218,0.046204114
2023-04,HMI Audio,89177900.0,0.008564057
2023-04,HMI Digital Video,3668886.0,0.004076022
2023-04,HMI Display,12325601.0,0.028977436
2023-04,HMI Linear,11770537.0,0.010209261
2023-04,HMI OOH,0.0,0.000626646
2023-04,Influencer,0.0,0.0
2023-04,MACS App,372800887.0,0.037227759
2023-04,MACS Programmatic,202430798.0,0.01842625
2023-04,MACS Social,173347160.0,0.02092745
2023-04,OO Display,10591279.0,0.005303888
2023-04,OO Linear,172261826.0,0.039337506
2023-04,OO Video,53728912.0,0.049211207
2023-04,Paid Search,14371419.0,0.045566497
2023-04,Partnerships,864305719.9575,0.18851398
2023-04,Podcast One Audio,52865373.66,0.042847325
2023-05,HMI Audio,4209407.142,0.004894938
2023-05,HMI Digital Video,14.0,0.001416334
2023-05,HMI Display,4695673.0,0.028276929
2023-05,HMI Linear,0.0,0.006656837
2023-05,HMI OOH,0.0,0.000342331
2023-05,Influencer,0.0,0.0
2023-05,MACS App,385792092.0,0.034963282
2023-05,MACS Programmatic,131927610.0,0.012578011
2023-05,MACS Social,61868801.0,0.018352314
2023-05,OO Display,6699686.0,0.004507767
2023-05,OO Linear,89444652.0,0.03793831
2023-05,OO Video,51309353.0,0.048218568
2023-05,Paid Search,27481116.0,0.068213529
2023-05,Partnerships,853727961.81558,0.173170596
2023-05,Podcast One Audio,65692889.57,0.042593648
2023-06,HMI Audio,42094071.419999994,0.011894014
2023-06,HMI Digital Video,280184.0,0.000505253
2023-06,HMI Display,2353043.0,0.024696642
2023-06,HMI Linear,0.0,0.002163275
2023-06,HMI OOH,0.0,0.0
2023-06,Influencer,379700.0,0.001264674
2023-06,MACS App,346166255.0,0.032516425
2023-06,MACS Programmatic,190777084.0,0.014275309
2023-06,MACS Social,152907047.0,0.022655866
2023-06,OO Display,5002516.0,0.003828308
2023-06,OO Linear,170997422.277,0.042105832
2023-06,OO Video,45880055.0,0.055282518
2023-06,Paid Search,41223791.0,0.073506657
2023-06,Partnerships,877438199.0,0.179803326
2023-06,Podcast One Audio,43278541.998,0.032723227
2023-07,HMI Audio,43497207.133999996,0.011986932
2023-07,HMI Digital Video,1265198.0,0.00109555
2023-07,HMI Display,23401544.0,0.026449649
2023-07,HMI Linear,0.0,0.0
2023-07,HMI OOH,0.0,0.0
2023-07,Influencer,4824088.0,0.004258571
2023-07,MACS App,254861551.0,0.024179324
2023-07,MACS Programmatic,395762379.0,0.019151792
2023-07,MACS Social,159548219.0,0.026212136
2023-07,OO Display,6522284.0,0.004171884
2023-07,OO Linear,171379162.0,0.046791595
2023-07,OO Video,62825311.0,0.065022937
2023-07,Paid Search,193560487.0,0.084803556
2023-07,Partnerships,692451770.0,0.158811897
2023-07,Podcast One Audio,40154653.997,0.022515692
2023-08,HMI Audio,8418814.284,0.005092426
2023-08,HMI Digital Video,9808971.0,0.001524511
2023-08,HMI Display,21060211.0,0.032888387
2023-08,HMI Linear,0.0,0.0
2023-08,HMI OOH,0.0,0.0
2023-08,Influencer,0.0,0.001643557
2023-08,MACS App,320844648.0,0.027533744
2023-08,MACS Programmatic,284241297.0,0.020774143
2023-08,MACS Social,107739717.0,0.023473558
2023-08,OO Display,1569235.0,0.002507922
2023-08,OO Linear,151703721.0,0.044808161
2023-08,OO Video,48682664.0,0.061682254
2023-08,Paid Search,169806428.0,0.096978085
2023-08,Partnerships,806225622.0,0.160335054
2023-08,Podcast One Audio,38010780.9981,0.018304443
2023-09,HMI Audio,126002828.41399999,0.001953988
2023-09,HMI Digital Video,1358935.0,0.003661577
2023-09,HMI Display,8345420.0,0.033403157
2023-09,HMI Linear,13454309.85716,0.003655469
2023-09,HMI OOH,2417909.7144,0.001692143
2023-09,Influencer,0.0,0.0
2023-09,MACS App,257666270.0,0.026447487
2023-09,MACS Programmatic,100509601.0,0.012487929
2023-09,MACS Social,104350450.0,0.024193431
2023-09,OO Display,1133712.0,0.001374706
2023-09,OO Linear,115574940.0,0.033320501
2023-09,OO Video,22448742.0,0.045061628
2023-09,Paid Search,58649741.0,0.090644707
2023-09,Partnerships,735406155.0,0.165664656
2023-09,Podcast One Audio,50116463.994,0.02360546
2023-10,HMI Audio,438117450.79999995,0.007036142
2023-10,HMI Digital Video,0.0,0.002987549
2023-10,HMI Display,0.0,0.016566668
2023-10,HMI Linear,32600772.14294,0.010905227
2023-10,HMI OOH,38803448.190400004,0.024001724
2023-10,Influencer,0.0,0.0
2023-10,MACS App,277986398.0,0.025396439
2023-10,MACS Programmatic,262621277.0,0.018181362
2023-10,MACS Social,212512445.0,0.0324157
2023-10,OO Display,11022823.0,0.004308429
2023-10,OO Linear,165700984.0,0.032034074
2023-10,OO Video,53090164.0,0.05907936
2023-10,Paid Search,33125564.0,0.079064906
2023-10,Partnerships,810544637.0,0.157508306
2023-10,Podcast One Audio,34817584.004,0.019466454
2023-11,HMI Audio,391164841.0684,0.008130185
2023-11,HMI Digital Video,10238070.0,0.012926874
2023-11,HMI Display,55961884.0,0.024807512
2023-11,HMI Linear,33229673.8567,0.011708975
2023-11,HMI OOH,29565820.1039,0.030170194
2023-11,Influencer,0.0,0.0
2023-11,MACS App,341282379.0,0.026821417
2023-11,MACS Programmatic,168067811.0,0.017345907
2023-11,MACS Social,216344775.0,0.029657455
2023-11,OO Display,5759916.0,0.003822831
2023-11,OO Linear,237241843.0,0.035175208
2023-11,OO Video,45201371.0,0.057863159
2023-11,Paid Search,28863785.0,0.073063261
2023-11,Partnerships,827918547.0,0.157148285
2023-11,Podcast One Audio,84914736.0,0.019293705
2023-12,HMI Audio,299827571.43299997,0.006634854
2023-12,HMI Digital Video,13907735.0,0.012826373
2023-12,HMI Display,84711082.0,0.032186081
2023-12,HMI Linear,106767335.1425,0.017653685
2023-12,HMI OOH,162456500.49704,0.038881862
2023-12,Influencer,0.0,0.0
2023-12,MACS App,363453294.0,0.027040513
2023-12,MACS Programmatic,225907028.0,0.015154677
2023-12,MACS Social,334148277.0,0.029312729
2023-12,OO Display,6042589.0,0.0035798
2023-12,OO Linear,336318048.606,0.04456545
2023-12,OO Video,52643980.0,0.056356514
2023-12,Paid Search,42098251.0,0.074756527
2023-12,Partnerships,953948660.0,0.146281161
2023-12,Podcast One Audio,127623459.0119,0.02317417
2024-01,HMI Audio,0.0,0.001941187
2024-01,HMI Digital Video,65.0,0.007504965
2024-01,HMI Display,15686.0,0.023188517
2024-01,HMI Linear,0.0,0.007023042
2024-01,HMI OOH,0.0,0.016705609
2024-01,Influencer,0.0,0.0
2024-01,MACS App,546542276.0,0.034926445
2024-01,MACS Programmatic,187611466.0,0.016704959
2024-01,MACS Social,123176579.0,0.029380389
2024-01,OO Display,0.0,0.001071676
2024-01,OO Linear,105737080.0,0.037599673
2024-01,OO Video,2935469.0,0.03436085
2024-01,Paid Search,85315644.0,0.092381508
2024-01,Partnerships,634520142.0,0.14404202
2024-01,Podcast One Audio,97843271.988,0.028374004
2024-02,HMI Audio,101677085.7149,0.002322125
2024-02,HMI Digital Video,4494151.0,0.005422429
2024-02,HMI Display,45843651.0,0.033835437
2024-02,HMI Linear,28903580.0,0.01174655
2024-02,HMI OOH,178692734.70892,0.014418213
2024-02,Influencer,0.0,0.0
2024-02,MACS App,443956237.0,0.037432282
2024-02,MACS Programmatic,582951569.0,0.022891658
2024-02,MACS Social,240967476.0,0.029458264
2024-02,OO Display,0.0,0.000276693
2024-02,OO Linear,402201384.2,0.044988008
2024-02,OO Video,9521407.0,0.021226773
2024-02,Paid Search,73777472.0,0.097592991
2024-02,Partnerships,738968931.0,0.143612325
2024-02,Podcast One Audio,87376144.991,0.02690732
2024-03,HMI Audio,282901014.2849,0.006532518
2024-03,HMI Digital Video,7759260.0,0.006207041
2024-03,HMI Display,23839982.0,0.042184075
2024-03,HMI Linear,20420860.0,0.011754565
2024-03,HMI OOH,246646352.24289998,0.01440103
2024-03,Influencer,0.0,0.0
2024-03,MACS App,281889564.0,0.029299389
2024-03,MACS Programmatic,564080176.0,0.027980031
2024-03,MACS Social,178406862.0,0.035456164
2024-03,OO Display,599138.0,0.000604874
2024-03,OO Linear,280796925.56,0.055148643
2024-03,OO Video,37761836.0,0.02800891
2024-03,Paid Search,47125448.0,0.084964655
2024-03,Partnerships,703974895.0,0.136607765
2024-03,Podcast One Audio,84247692.991,0.025473402
2024-04,HMI Audio,198333699.9998,0.007296842
2024-04,HMI Digital Video,6950820.0,0.005692905
2024-04,HMI Display,42127361.0,0.054403981
2024-04,HMI Linear,17106400.0,0.015621811
2024-04,HMI OOH,91884797.4241,0.016438632
2024-04,Influencer,904400.0,0.002085673
2024-04,MACS App,117589725.0,0.012707616
2024-04,MACS Programmatic,609023919.0,0.02831165
2024-04,MACS Social,129142802.0,0.02924247
2024-04,OO Display,2189479.0,0.001159622
2024-04,OO Linear,285868247.0,0.055570749
2024-04,OO Video,62164855.0,0.064551654
2024-04,Paid Search,19840268.0,0.058838664
2024-04,Partnerships,520408637.0,0.121001233
2024-04,Podcast One Audio,81673257.997,0.026879665
2024-05,HMI Audio,12080500.0,0.003747989
2024-05,HMI Digital Video,0.0,0.003311467
2024-05,HMI Display,7249735.0,0.04016455
2024-05,HMI Linear,0.0,0.006847542
2024-05,HMI OOH,56403220.13803,0.017397281
2024-05,Influencer,0.0,0.000888419
2024-05,MACS App,147499349.0,0.009765404
2024-05,MACS Programmatic,388717515.0,0.028707848
2024-05,MACS Social,102086472.0,0.024773816
2024-05,OO Display,4017556.0,0.003260986
2024-05,OO Linear,205269835.0,0.050595973
2024-05,OO Video,62741949.0,0.082745995
2024-05,Paid Search,10663406.0,0.043939049
2024-05,Partnerships,529393563.0,0.116799312
2024-05,Podcast One Audio,81294317.998,0.025641867
2024-06,HMI Audio,42679700.0064,0.009170241
2024-06,HMI Digital Video,5.0,0.001767932
2024-06,HMI Display,28737713.0,0.043186012
2024-06,HMI Linear,9053300.0,0.006310604
2024-06,HMI OOH,53496180.42387,0.016208282
2024-06,Influencer,593106.0,0.000928569
2024-06,MACS App,165292777.0,0.010003339
2024-06,MACS Programmatic,164211007.0,0.022181633
2024-06,MACS Social,104441688.0,0.024801873
2024-06,OO Display,565492.0,0.002329338
2024-06,OO Linear,204964714.0,0.048230855
2024-06,OO Video,48025554.0,0.065003842
2024-06,Paid Search,11906497.0,0.047414708
2024-06,Partnerships,694281026.0,0.126939008
2024-06,Podcast One Audio,65708991.992000006,0.02167241
2024-07,HMI Audio,41024885.7192,0.010078796
2024-07,HMI Digital Video,0.0,3.60934e-05
2024-07,HMI Display,63392112.0,0.049107237
2024-07,HMI Linear,8505480.0,0.0064449
2024-07,HMI OOH,89167844.14119,0.03188167
2024-07,Influencer,262615.0,0.001902802
2024-07,MACS App,236761460.0,0.017159232
2024-07,MACS Programmatic,139197017.0,0.018251479
2024-07,MACS Social,89203508.0,0.022608222
2024-07,OO Display,683352.0,0.001276588
2024-07,OO Linear,284870831.0,0.055609171
2024-07,OO Video,71140537.0,0.06010193
2024-07,Paid Search,8655780.0,0.040636398
2024-07,Partnerships,480938166.0,0.099659191
2024-07,Podcast One Audio,60602151.0049,0.021512131
2024-08,HMI Audio,40584314.2939,0.009964821
2024-08,HMI Digital Video,0.0,6.71574e-06
2024-08,HMI Display,27031076.0,0.053648484
2024-08,HMI Linear,6993520.0,0.00737321
2024-08,HMI OOH,56403220.13803,0.02367083
2024-08,Influencer,756051.0,0.002151499
2024-08,MACS App,246181173.0,0.01962924
2024-08,MACS Programmatic,109028438.0,0.013571849
2024-08,MACS Social,67518697.0,0.016769571
2024-08,OO Display,816604.0,0.001041779
2024-08,OO Linear,177615272.0,0.056750057
2024-08,OO Video,53751660.0,0.058022982
2024-08,Paid Search,9696533.0,0.042957703
2024-08,Partnerships,730102747.0,0.106267339
2024-08,Podcast One Audio,65544461.0,0.019923353
2024-09,HMI Audio,54044368.2576,0.006797558
2024-09,HMI Digital Video,0.0,0.0
2024-09,HMI Display,17642607.0,0.039138983
2024-09,HMI Linear,13106126.236159999,0.006396549
2024-09,HMI OOH,58280359.06627,0.022304065
2024-09,Influencer,0.0,0.000455986
2024-09,MACS App,293357205.0,0.023497728
2024-09,MACS Programmatic,80621207.0,0.008345242
2024-09,MACS Social,82179501.0,0.016939966
2024-09,OO Display,10305031.0,0.003337551
2024-09,OO Linear,80646676.12801,0.041072044
2024-09,OO Video,36276806.0,0.055480397
2024-09,Paid Search,29901620.0,0.065936583
2024-09,Partnerships,800908420.0,0.127958892
2024-09,Podcast One Audio,64188721.997,0.020216085
2024-10,HMI Audio,92542335.13774,0.005346689
2024-10,HMI Digital Video,0.0,0.0
2024-10,HMI Display,65172088.0,0.050503128
2024-10,HMI Linear,13641676.980834,0.007097088
2024-10,HMI OOH,97331163.52167,0.020230518
2024-10,Influencer,0.0,0.0
2024-10,MACS App,385099778.0,0.026964683
2024-10,MACS Programmatic,253880521.0,0.012245572
2024-10,MACS Social,170370330.0,0.025803277
2024-10,OO Display,19292037.0,0.007923978
2024-10,OO Linear,9273360.0,0.018709282
2024-10,OO Video,48140759.0,0.055871591
2024-10,Paid Search,61849187.0,0.07528501
2024-10,Partnerships,688868148.6681,0.127554614
2024-10,Podcast One Audio,71505785.999,0.023335985
2024-11,HMI Audio,129786811.07283,0.005246964
2024-11,HMI Digital Video,0.0,0.0
2024-11,HMI Display,17354376.0,0.053610742
2024-11,HMI Linear,5506187.61716,0.005107213
2024-11,HMI OOH,163825298.142,0.021990645
2024-11,Influencer,0.0,0.0
2024-11,MACS App,420649714.0,0.02511508
2024-11,MACS Programmatic,150979003.0,0.011145429
2024-11,MACS Social,80768608.0,0.022378793
2024-11,OO Display,12625648.0,0.00770649
2024-11,OO Linear,18510690.0,0.0097941
2024-11,OO Video,56479364.0,0.05644363
2024-11,Paid Search,56947337.0,0.076611242
2024-11,Partnerships,1304314077.667,0.166102601
2024-11,Podcast One Audio,89504292.0,0.023000239
2024-12,HMI Audio,20432650.3074,0.002156469
2024-12,HMI Digital Video,0.0,0.0
2024-12,HMI Display,3816709.0,0.036388482
2024-12,HMI Linear,7369912.58304,0.004182722
2024-12,HMI OOH,59036408.96049,0.017808669
2024-12,Influencer,0.0,0.0
2024-12,MACS App,392182353.0,0.023740195
2024-12,MACS Programmatic,204955479.0,0.010710761
2024-12,MACS Social,79724603.0,0.021156137
2024-12,OO Display,22136405.0,0.008116682
2024-12,OO Linear,26802000.0,0.008765668
2024-12,OO Video,95488125.0,0.063316115
2024-12,Paid Search,51473761.0,0.073327499
2024-12,Partnerships,1545481975.666,0.192976246
2024-12,Podcast One Audio,58870577.996,0.020156787
