month,channel,imps
2023-01-01,HMI Audio,196682536
2023-01-01,HMI Digital Video,12203876
2023-01-01,HMI Display,1771
2023-01-01,HMI Linear,9006157
2023-01-01,HMI OOH,7676036
2023-01-01,Influencer,0
2023-01-01,MACS App,826373281
2023-01-01,MACS Programmatic,94633307
2023-01-01,MACS Social,229422031
2023-01-01,OO Display,21689159
2023-01-01,OO Linear,235982183
2023-01-01,OO Video,59178756
2023-01-01,Paid Search,15932461
2023-01-01,Partnerships,1065514026
2023-01-01,Podcast One Audio,61761221
2023-02-01,HMI Audio,88682005
2023-02-01,HMI Digital Video,17501457
2023-02-01,HMI Display,802815
2023-02-01,HMI Linear,9892184
2023-02-01,HMI OOH,62166380
2023-02-01,Influencer,0
2023-02-01,MACS App,684959928
2023-02-01,MACS Programmatic,134623077
2023-02-01,MACS Social,181266813
2023-02-01,OO Display,12610231
2023-02-01,OO Linear,125926326
2023-02-01,OO Video,49626677
2023-02-01,Paid Search,21928523
2023-02-01,Partnerships,876240486
2023-02-01,Podcast One Audio,63693343
2023-03-01,HMI Audio,91560176
2023-03-01,HMI Digital Video,6841253
2023-03-01,HMI Display,36871883
2023-03-01,HMI Linear,21272559
2023-03-01,HMI OOH,172909515
2023-03-01,Influencer,0
2023-03-01,MACS App,840570776
2023-03-01,MACS Programmatic,303899824
2023-03-01,MACS Social,229041803
2023-03-01,OO Display,8278730
2023-03-01,OO Linear,168733509
2023-03-01,OO Video,43484873
2023-03-01,Paid Search,21153043
2023-03-01,Partnerships,906838766
2023-03-01,Podcast One Audio,60063029
2023-04-01,HMI Audio,89177900
2023-04-01,HMI Digital Video,3668899
2023-04-01,HMI Display,13301438
2023-04-01,HMI Linear,11770537
2023-04-01,HMI OOH,0
2023-04-01,Influencer,0
2023-04-01,MACS App,433239182
2023-04-01,MACS Programmatic,195668280
2023-04-01,MACS Social,179866820
2023-04-01,OO Display,12433519
2023-04-01,OO Linear,186273400
2023-04-01,OO Video,62681769
2023-04-01,Paid Search,16643032
2023-04-01,Partnerships,945287011
2023-04-01,Podcast One Audio,64263208
2023-05-01,HMI Audio,8418814
2023-05-01,HMI Digital Video,1
2023-05-01,HMI Display,3765842
2023-05-01,HMI Linear,0
2023-05-01,HMI OOH,0
2023-05-01,Influencer,379700
2023-05-01,MACS App,342453857
2023-05-01,MACS Programmatic,129088692
2023-05-01,MACS Social,59071905
2023-05-01,OO Display,5205633
2023-05-01,OO Linear,89667585
2023-05-01,OO Video,44682036
2023-05-01,Paid Search,27302949
2023-05-01,Partnerships,820131924
2023-05-01,Podcast One Audio,57942692
2023-06-01,HMI Audio,39287799
2023-06-01,HMI Digital Video,280185
2023-06-01,HMI Display,2466827
2023-06-01,HMI Linear,0
2023-06-01,HMI OOH,0
2023-06-01,Influencer,0
2023-06-01,MACS App,316698175
2023-06-01,MACS Programmatic,189194818
2023-06-01,MACS Social,150380964
2023-06-01,OO Display,4984494
2023-06-01,OO Linear,158611214
2023-06-01,OO Video,45043067
2023-06-01,Paid Search,39217170
2023-06-01,Partnerships,825769322
2023-06-01,Podcast One Audio,38984131
2023-07-01,HMI Audio,49109749
2023-07-01,HMI Digital Video,1265197
2023-07-01,HMI Display,26951140
2023-07-01,HMI Linear,0
2023-07-01,HMI OOH,0
2023-07-01,Influencer,4824088
2023-07-01,MACS App,291362819
2023-07-01,MACS Programmatic,437343372
2023-07-01,MACS Social,165986472
2023-07-01,OO Display,6529023
2023-07-01,OO Linear,187976945
2023-07-01,OO Video,66605563
2023-07-01,Paid Search,233556831
2023-07-01,Partnerships,765465922
2023-07-01,Podcast One Audio,46624826
2023-08-01,HMI Audio,1403135
2023-08-01,HMI Digital Video,9808971
2023-08-01,HMI Display,17350950
2023-08-01,HMI Linear,0
2023-08-01,HMI OOH,0
2023-08-01,Influencer,0
2023-08-01,MACS App,299047242
2023-08-01,MACS Programmatic,237411107
2023-08-01,MACS Social,101218728
2023-08-01,OO Display,1204391
2023-08-01,OO Linear,132694670
2023-08-01,OO Video,42167732
2023-08-01,Paid Search,139617088
2023-08-01,Partnerships,733917110
2023-08-01,Podcast One Audio,33131025
2023-09-01,HMI Audio,126002828
2023-09-01,HMI Digital Video,1358935
2023-09-01,HMI Display,8345286
2023-09-01,HMI Linear,13454309
2023-09-01,HMI OOH,2417909
2023-09-01,Influencer,0
2023-09-01,MACS App,240204515
2023-09-01,MACS Programmatic,95952302
2023-09-01,MACS Social,102370291
2023-09-01,OO Display,1131078
2023-09-01,OO Linear,115405497
2023-09-01,OO Video,22238573
2023-09-01,Paid Search,47947953
2023-09-01,Partnerships,710725313
2023-09-01,Podcast One Audio,47410640
2023-10-01,HMI Audio,498965471
2023-10-01,HMI Digital Video,1522885
2023-10-01,HMI Display,27319091
2023-10-01,HMI Linear,36177424
2023-10-01,HMI OOH,40144798
2023-10-01,Influencer,0
2023-10-01,MACS App,316508931
2023-10-01,MACS Programmatic,295735019
2023-10-01,MACS Social,228227964
2023-10-01,OO Display,11671857
2023-10-01,OO Linear,188766324
2023-10-01,OO Video,61366325
2023-10-01,Paid Search,36885437
2023-10-01,Partnerships,882307789
2023-10-01,Podcast One Audio,43309057
2023-11-01,HMI Audio,349660534
2023-11-01,HMI Digital Video,9543206
2023-11-01,HMI Display,30731143
2023-11-01,HMI Linear,42113442
2023-11-01,HMI OOH,32350400
2023-11-01,Influencer,0
2023-11-01,MACS App,325663603
2023-11-01,MACS Programmatic,145869133
2023-11-01,MACS Social,205074323
2023-11-01,OO Display,5328208
2023-11-01,OO Linear,234429049
2023-11-01,OO Video,38965512
2023-11-01,Paid Search,25744289
2023-11-01,Partnerships,782110307
2023-11-01,Podcast One Audio,77279227
2023-12-01,HMI Audio,280483857
2023-12-01,HMI Digital Video,13079778
2023-12-01,HMI Display,82630296
2023-12-01,HMI Linear,94306914
2023-12-01,HMI OOH,158330569
2023-12-01,Influencer,0
2023-12-01,MACS App,479294104
2023-12-01,MACS Programmatic,250589156
2023-12-01,MACS Social,337165107
2023-12-01,OO Display,5825263
2023-12-01,OO Linear,321754581
2023-12-01,OO Video,50638814
2023-12-01,Paid Search,54623999
2023-12-01,Partnerships,1003932262
2023-12-01,Podcast One Audio,147733909
2024-01-01,HMI Audio,0
2024-01-01,HMI Digital Video,1
2024-01-01,HMI Display,8131
2024-01-01,HMI Linear,0
2024-01-01,HMI OOH,0
2024-01-01,Influencer,0
2024-01-01,MACS App,453950494
2024-01-01,MACS Programmatic,175423549
2024-01-01,MACS Social,118067415
2024-01-01,OO Display,0
2024-01-01,OO Linear,101817459
2024-01-01,OO Video,3899467
2024-01-01,Paid Search,81897443
2024-01-01,Partnerships,600702759
2024-01-01,Podcast One Audio,85068370
2024-02-01,HMI Audio,118587228
2024-02-01,HMI Digital Video,4983442
2024-02-01,HMI Display,46922909
2024-02-01,HMI Linear,32209580
2024-02-01,HMI OOH,193049345
2024-02-01,Influencer,0
2024-02-01,MACS App,418144286
2024-02-01,MACS Programmatic,603017798
2024-02-01,MACS Social,242706723
2024-02-01,OO Display,0
2024-02-01,OO Linear,414781741
2024-02-01,OO Video,8522273
2024-02-01,Paid Search,68550397
2024-02-01,Partnerships,734015922
2024-02-01,Podcast One Audio,80350803
2024-03-01,HMI Audio,311324300
2024-03-01,HMI Digital Video,8712139
2024-03-01,HMI Display,25986155
2024-03-01,HMI Linear,19172260
2024-03-01,HMI OOH,257392652
2024-03-01,Influencer,14100
2024-03-01,MACS App,287535935
2024-03-01,MACS Programmatic,644813694
2024-03-01,MACS Social,180181046
2024-03-01,OO Display,614764
2024-03-01,OO Linear,313085400
2024-03-01,OO Video,51370196
2024-03-01,Paid Search,49023821
2024-03-01,Partnerships,747724652
2024-03-01,Podcast One Audio,100569218
2024-04-01,HMI Audio,153000271
2024-04-01,HMI Digital Video,5508650
2024-04-01,HMI Display,39067096
2024-04-01,HMI Linear,15049000
2024-04-01,HMI OOH,74059721
2024-04-01,Influencer,890300
2024-04-01,MACS App,108292077
2024-04-01,MACS Programmatic,547214122
2024-04-01,MACS Social,125111145
2024-04-01,OO Display,2926368
2024-04-01,OO Linear,267551806
2024-04-01,OO Video,56801983
2024-04-01,Paid Search,14752643
2024-04-01,Partnerships,484347761
2024-04-01,Podcast One Audio,72318292
2024-05-01,HMI Audio,13462000
2024-05-01,HMI Digital Video,0
2024-05-01,HMI Display,7834787
2024-05-01,HMI Linear,0
2024-05-01,HMI OOH,50944843
2024-05-01,Influencer,0
2024-05-01,MACS App,135841737
2024-05-01,MACS Programmatic,330030873
2024-05-01,MACS Social,100657819
2024-05-01,OO Display,3283439
2024-05-01,OO Linear,177375665
2024-05-01,OO Video,56081901
2024-05-01,Paid Search,9767203
2024-05-01,Partnerships,497643921
2024-05-01,Podcast One Audio,73161585
2024-06-01,HMI Audio,50950657
2024-06-01,HMI Digital Video,5
2024-06-01,HMI Display,65753572
2024-06-01,HMI Linear,10314260
2024-06-01,HMI OOH,69614464
2024-06-01,Influencer,612693
2024-06-01,MACS App,199489893
2024-06-01,MACS Programmatic,188953044
2024-06-01,MACS Social,122041306
2024-06-01,OO Display,707634
2024-06-01,OO Linear,273326977
2024-06-01,OO Video,59977846
2024-06-01,Paid Search,13301609
2024-06-01,Partnerships,717258564
2024-06-01,Podcast One Audio,78695166
2024-07-01,HMI Audio,35981414
2024-07-01,HMI Digital Video,0
2024-07-01,HMI Display,28619770
2024-07-01,HMI Linear,7442920
2024-07-01,HMI OOH,76688477
2024-07-01,Influencer,243028
2024-07-01,MACS App,221085472
2024-07-01,MACS Programmatic,122583484
2024-07-01,MACS Social,79833212
2024-07-01,OO Display,582359
2024-07-01,OO Linear,239664483
2024-07-01,OO Video,63144326
2024-07-01,Paid Search,7703286
2024-07-01,Partnerships,476513187
2024-07-01,Podcast One Audio,47781426
2024-08-01,HMI Audio,35975328
2024-08-01,HMI Digital Video,0
2024-08-01,HMI Display,24037332
2024-08-01,HMI Linear,6795120
2024-08-01,HMI OOH,50944843
2024-08-01,Influencer,756051
2024-08-01,MACS App,222628100
2024-08-01,MACS Programmatic,97187351
2024-08-01,MACS Social,58883521
2024-08-01,OO Display,757057
2024-08-01,OO Linear,154031678
2024-08-01,OO Video,48210139
2024-08-01,Paid Search,8818521
2024-08-01,Partnerships,698442827
2024-08-01,Podcast One Audio,65379011
2024-09-01,HMI Audio,63843549
2024-09-01,HMI Digital Video,0
2024-09-01,HMI Display,31020505
2024-09-01,HMI Linear,18558897
2024-09-01,HMI OOH,70955530
2024-09-01,Influencer,0
2024-09-01,MACS App,363132104
2024-09-01,MACS Programmatic,132956515
2024-09-01,MACS Social,93507208
2024-09-01,OO Display,13562096
2024-09-01,OO Linear,81930896
2024-09-01,OO Video,43703047
2024-09-01,Paid Search,36965299
2024-09-01,Partnerships,880545107
2024-09-01,Podcast One Audio,78252426
2024-10-01,HMI Audio,89034840
2024-10-01,HMI Digital Video,0
2024-10-01,HMI Display,52732729
2024-10-01,HMI Linear,8337045
2024-10-01,HMI OOH,92449486
2024-10-01,Influencer,0
2024-10-01,MACS App,336886342
2024-10-01,MACS Programmatic,205431030
2024-10-01,MACS Social,160236452
2024-10-01,OO Display,16820925
2024-10-01,OO Linear,9976400
2024-10-01,OO Video,44194654
2024-10-01,Paid Search,57061739
2024-10-01,Partnerships,660726011
2024-10-01,Podcast One Audio,60671231
2024-11-01,HMI Audio,123495125
2024-11-01,HMI Digital Video,0
2024-11-01,HMI Display,16415837
2024-11-01,HMI Linear,5358047
2024-11-01,HMI OOH,156031804
2024-11-01,Influencer,0
2024-11-01,MACS App,399088251
2024-11-01,MACS Programmatic,147093186
2024-11-01,MACS Social,79574779
2024-11-01,OO Display,11839695
2024-11-01,OO Linear,16523430
2024-11-01,OO Video,52999228
2024-11-01,Paid Search,54671106
2024-11-01,Partnerships,1252819527
2024-11-01,Podcast One Audio,86275141
2024-12-01,HMI Audio,15186904
2024-12-01,HMI Digital Video,0
2024-12-01,HMI Display,3612933
2024-12-01,HMI Linear,7090986
2024-12-01,HMI OOH,51874523
2024-12-01,Influencer,0
2024-12-01,MACS App,341511314
2024-12-01,MACS Programmatic,150574838
2024-12-01,MACS Social,68738393
2024-12-01,OO Display,18989171
2024-12-01,OO Linear,23663000
2024-12-01,OO Video,76040191
2024-12-01,Paid Search,45633840
2024-12-01,Partnerships,1344025613
2024-12-01,Podcast One Audio,55482529
